"","no_of_bug_owned","avg_resolution","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
"no_of_bug_owned",1,-0.0397377323075577,0.5204472183089,NA,0.560515013131907,0.131648466022136,0.315919807679832,0.450720282758645,0.434933319009814,NA,-0.292305315369799,0.519576745693117,0.519576745693117,0.519576745693117,0.509798401916753,-0.0166421278280488,0.338923777330698,0.293999000261274,-0.334391634058912
"avg_resolution",-0.0397377323075577,1,0.0173133848579435,NA,-0.0248292255551273,-0.0660664616867708,0.0175764103233313,0.0476191969268685,0.0524200596239955,NA,0.0504898540207825,0.0173346724130103,0.0173346724130103,0.0173346724130103,0.0277453340150459,-0.0140393369656681,0.0130205486456475,-0.0149285846770421,-0.00082710537377227
"scmChanges",0.5204472183089,0.0173133848579435,1,NA,0.77535737499312,0.281462167366837,0.566764051883251,0.775406678912523,0.692826063023962,NA,-0.261833060502747,0.90954619172918,0.90954619172918,0.90954619172918,0.784627416365605,0.0980417872776673,0.597600148805349,0.756209174089168,-0.597364683432669
"scrChanges",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mslChanges",0.560515013131907,-0.0248292255551273,0.77535737499312,NA,1,0.221167861129293,0.411489683837502,0.66404301448833,0.656367030301965,NA,-0.405001243469983,0.736249092612436,0.736249092612436,0.736249092612436,0.673063286451474,0.0920270067363628,0.454164022997211,0.675877466504808,-0.476720250335514
"number_of_domain",0.131648466022136,-0.0660664616867708,0.281462167366837,NA,0.221167861129293,1,0.265811913783386,0.270229678152463,0.281231933418799,NA,-0.0966768966377205,0.323601072225096,0.323601072225096,0.323601072225096,0.305464410282953,0.0315149829949353,0.278175119111037,0.17180370827095,-0.314557694727764
"country",0.315919807679832,0.0175764103233313,0.566764051883251,NA,0.411489683837502,0.265811913783386,1,0.565273853119008,0.537640214820767,NA,-0.168814559351542,0.681328033519633,0.681328033519633,0.681328033519633,0.525229506180146,0.585465549180027,0.959105336937511,0.368829855209989,-0.971694312504712
"linesadded",0.450720282758645,0.0476191969268685,0.775406678912523,NA,0.66404301448833,0.270229678152463,0.565273853119008,1,0.94705413911435,NA,-0.269857744455962,0.728516693811634,0.728516693811634,0.728516693811634,0.589122222193754,0.128894734644157,0.558345396628633,0.672798563400261,-0.562428861298535
"linesremoved",0.434933319009814,0.0524200596239955,0.692826063023962,NA,0.656367030301965,0.281231933418799,0.537640214820767,0.94705413911435,1,NA,-0.264695704989474,0.708515721756603,0.708515721756603,0.708515721756603,0.571526749272474,0.0752441936389694,0.518959032015269,0.596805960965,-0.52170058243598
"ReviewGotMerged",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X",-0.292305315369799,0.0504898540207825,-0.261833060502747,NA,-0.405001243469983,-0.0966768966377205,-0.168814559351542,-0.269857744455962,-0.264695704989474,NA,1,-0.241167358511423,-0.241167358511423,-0.241167358511423,-0.236177659373536,-0.15511888536133,-0.164141553140236,-0.226215665851637,0.24881941743712
"in_degree",0.519576745693117,0.0173346724130103,0.90954619172918,NA,0.736249092612436,0.323601072225096,0.681328033519633,0.728516693811634,0.708515721756603,NA,-0.241167358511423,1,1,1,0.79117200825487,0.125063224544404,0.726762423311687,0.624087837845464,-0.70956562669871
"out_degree",0.519576745693117,0.0173346724130103,0.90954619172918,NA,0.736249092612436,0.323601072225096,0.681328033519633,0.728516693811634,0.708515721756603,NA,-0.241167358511423,1,1,1,0.79117200825487,0.125063224544404,0.726762423311687,0.624087837845464,-0.70956562669871
"degree",0.519576745693117,0.0173346724130103,0.90954619172918,NA,0.736249092612436,0.323601072225096,0.681328033519633,0.728516693811634,0.708515721756603,NA,-0.241167358511423,1,1,1,0.79117200825487,0.125063224544404,0.726762423311687,0.624087837845464,-0.70956562669871
"betweenness",0.509798401916753,0.0277453340150459,0.784627416365605,NA,0.673063286451474,0.305464410282953,0.525229506180146,0.589122222193754,0.571526749272474,NA,-0.236177659373536,0.79117200825487,0.79117200825487,0.79117200825487,1,0.0583802720176034,0.556573843906534,0.467864215015201,-0.559451719556591
"clustcoeff",-0.0166421278280488,-0.0140393369656681,0.0980417872776673,NA,0.0920270067363628,0.0315149829949353,0.585465549180027,0.128894734644157,0.0752441936389694,NA,-0.15511888536133,0.125063224544404,0.125063224544404,0.125063224544404,0.0583802720176034,1,0.615117486249757,0.0856160749868434,-0.608122540249856
"closeness",0.338923777330698,0.0130205486456475,0.597600148805349,NA,0.454164022997211,0.278175119111037,0.959105336937511,0.558345396628633,0.518959032015269,NA,-0.164141553140236,0.726762423311687,0.726762423311687,0.726762423311687,0.556573843906534,0.615117486249757,1,0.396986418465358,-0.967846660577021
"eigencentrality",0.293999000261274,-0.0149285846770421,0.756209174089168,NA,0.675877466504808,0.17180370827095,0.368829855209989,0.672798563400261,0.596805960965,NA,-0.226215665851637,0.624087837845464,0.624087837845464,0.624087837845464,0.467864215015201,0.0856160749868434,0.396986418465358,1,-0.400866630766863
"upeople_id",-0.334391634058912,-0.00082710537377227,-0.597364683432669,NA,-0.476720250335514,-0.314557694727764,-0.971694312504712,-0.562428861298535,-0.52170058243598,NA,0.24881941743712,-0.70956562669871,-0.70956562669871,-0.70956562669871,-0.559451719556591,-0.608122540249856,-0.967846660577021,-0.400866630766863,1
