"","no_of_bug_owned","avg_resolution","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
"no_of_bug_owned",1,-0.0675620162157192,0.667553865034411,0.585804737474021,0.33178505152718,0.0876770825669675,-0.16926225130646,0.522304067530166,0.560391093997561,0.583996255161377,0.219081203467488,0.0281797363955653,0.0281797363955653,0.0281797363955653,-0.000532616199826174,-0.195206434406288,-0.0843941913574058,0.566312214033191,0.134143802448899
"avg_resolution",-0.0675620162157192,1,0.167058236148774,0.183969486138011,0.404742437497851,-0.128995450028668,0.324041208858886,0.396315516458615,0.18592958698821,0.184351934507173,-0.401231819894455,0.268852183865957,0.268852183865957,0.268852183865957,-0.370732555344692,0.122673200249476,-0.181479369341295,0.638606159104417,-0.166649049559598
"scmChanges",0.667553865034411,0.167058236148774,1,0.992186409483491,0.248753667487571,-0.0747379943806008,0.245174624366284,0.962884672364277,0.987819364030736,0.991890452782795,0.026885835337957,0.259771319921325,0.259771319921325,0.259771319921325,-0.224546405482121,0.121153785091016,-0.532856240624666,0.741357916400435,-0.163409538177901
"scrChanges",0.585804737474021,0.183969486138011,0.992186409483491,1,0.186795447440221,-0.030502308096447,0.233951524406515,0.974894011660176,0.999293530122065,0.99999694843654,0.0128223872797487,0.211475422214476,0.211475422214476,0.211475422214476,-0.25972739631276,0.0961655947120225,-0.513878409300928,0.701440132420746,-0.131452714944208
"mslChanges",0.33178505152718,0.404742437497851,0.248753667487571,0.186795447440221,1,-0.196986580274852,0.213733294458177,0.257681306208907,0.17416598615785,0.185676704998042,-0.585332733323186,0.536033575640408,0.536033575640408,0.536033575640408,-0.156337167350846,0.372332764431947,-0.33898857234237,0.605072429989637,-0.410163134256789
"number_of_domain",0.0876770825669675,-0.128995450028668,-0.0747379943806008,-0.030502308096447,-0.196986580274852,1,-0.91114690321884,-0.0665433997403727,-0.0279695521980808,-0.0299830879525117,-0.124763928023484,-0.87981438023468,-0.87981438023468,-0.87981438023468,-0.361775742077546,-0.88707469263034,0.778684713649551,-0.323635667595364,0.911146163899998
"country",-0.16926225130646,0.324041208858886,0.245174624366284,0.233951524406515,0.213733294458177,-0.91114690321884,1,0.298714477948607,0.241824743595584,0.234152953835454,-0.109544511501033,0.901293262736689,0.901293262736689,0.901293262736689,0.0279799933846715,0.858753937859948,-0.87462504813898,0.476102611092274,-0.887504684471358
"linesadded",0.522304067530166,0.396315516458615,0.962884672364277,0.974894011660176,0.257681306208907,-0.0665433997403727,0.298714477948607,1,0.974982834669194,0.974999273917446,-0.0769275708551603,0.262840788322003,0.262840788322003,0.262840788322003,-0.321341979501527,0.126300537105322,-0.529956926533327,0.79646908905588,-0.16930367089202
"linesremoved",0.560391093997561,0.18592958698821,0.987819364030736,0.999293530122065,0.17416598615785,-0.0279695521980808,0.241824743595584,0.974982834669194,1,0.999376234854128,-0.000946911418752761,0.209123253111778,0.209123253111778,0.209123253111778,-0.27953457860825,0.0954377088800214,-0.516101035032152,0.694612304467984,-0.130195358488438
"ReviewGotMerged",0.583996255161377,0.184351934507173,0.991890452782795,0.99999694843654,0.185676704998042,-0.0299830879525117,0.234152953835454,0.974999273917446,0.999376234854128,1,0.0121411756320877,0.210935137196061,0.210935137196061,0.210935137196061,-0.260808994721999,0.0959199073902248,-0.513795773309173,0.700795976848781,-0.131116895946277
"X",0.219081203467488,-0.401231819894455,0.026885835337957,0.0128223872797487,-0.585332733323186,-0.124763928023484,-0.109544511501033,-0.0769275708551603,-0.000946911418752761,0.0121411756320877,1,-0.28037408166314,-0.28037408166314,-0.28037408166314,0.73262283243499,-0.109758015748078,0.179520187770134,-0.283066014999873,0.136936522354746
"in_degree",0.0281797363955653,0.268852183865957,0.259771319921325,0.211475422214476,0.536033575640408,-0.87981438023468,0.901293262736689,0.262840788322003,0.209123253111778,0.210935137196061,-0.28037408166314,1,1,1,0.0548953593863824,0.915049669561048,-0.90339633313935,0.546790248121719,-0.950656326247561
"out_degree",0.0281797363955653,0.268852183865957,0.259771319921325,0.211475422214476,0.536033575640408,-0.87981438023468,0.901293262736689,0.262840788322003,0.209123253111778,0.210935137196061,-0.28037408166314,1,1,1,0.0548953593863824,0.915049669561048,-0.90339633313935,0.546790248121719,-0.950656326247561
"degree",0.0281797363955653,0.268852183865957,0.259771319921325,0.211475422214476,0.536033575640408,-0.87981438023468,0.901293262736689,0.262840788322003,0.209123253111778,0.210935137196061,-0.28037408166314,1,1,1,0.0548953593863824,0.915049669561048,-0.90339633313935,0.546790248121719,-0.950656326247561
"betweenness",-0.000532616199826174,-0.370732555344692,-0.224546405482121,-0.25972739631276,-0.156337167350846,-0.361775742077546,0.0279799933846715,-0.321341979501527,-0.27953457860825,-0.260808994721999,0.73262283243499,0.0548953593863824,0.0548953593863824,0.0548953593863824,1,0.335244896418111,-0.011148429759741,-0.371688976327105,-0.279792179798119
"clustcoeff",-0.195206434406288,0.122673200249476,0.121153785091016,0.0961655947120225,0.372332764431947,-0.88707469263034,0.858753937859948,0.126300537105322,0.0954377088800214,0.0959199073902248,-0.109758015748078,0.915049669561048,0.915049669561048,0.915049669561048,0.335244896418111,1,-0.864095738109272,0.268110078134126,-0.993425825567623
