"","no_of_bug_owned","avg_resolution","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
"no_of_bug_owned",1,0.227242084054008,-0.0103533447374032,NA,-0.104274796462872,-0.225499475789821,-0.0701906414394951,0.0545164369197628,0.0285415817298527,NA,0.430619950028292,0.280207149653694,0.280207149653694,0.280207149653694,0.358518321800701,NA,0.113427487504238,-0.0335348438359077,0.114205531956158
"avg_resolution",0.227242084054008,1,0.143178368705317,NA,-0.0665094130592184,-0.00576397657224152,0.402520334425753,0.652590225038384,0.622248321774626,NA,0.27658965021399,0.593678863803037,0.593678863803037,0.593678863803037,0.642182347923949,NA,0.219418231628626,-0.192516811885307,-0.462645548111472
"scmChanges",-0.0103533447374032,0.143178368705317,1,NA,0.821944711820073,0.617639316553524,0.376587759817595,0.777801136252094,0.770326511563293,NA,-0.287357442500738,0.454819833719575,0.454819833719575,0.454819833719575,0.0766848268703576,NA,-0.930889535402078,0.759140578409214,-0.369830037679635
"scrChanges",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mslChanges",-0.104274796462872,-0.0665094130592184,0.821944711820073,NA,1,0.64339097772577,0.490062359876303,0.490158955409188,0.47647211584655,NA,-0.571934491231787,0.392968989699652,0.392968989699652,0.392968989699652,0.0822439688910353,NA,-0.816643154155407,0.692247213521351,-0.440884745960742
"number_of_domain",-0.225499475789821,-0.00576397657224152,0.617639316553524,NA,0.64339097772577,1,0.589832399165711,0.391923710801684,0.393919176904344,NA,-0.524720035060033,0.282319201147958,0.282319201147958,0.282319201147958,-0.118776613091245,NA,-0.614872913738266,0.308783107547406,-0.68229785916681
"country",-0.0701906414394951,0.402520334425753,0.376587759817595,NA,0.490062359876303,0.589832399165711,1,0.457909269932962,0.4402248447773,NA,-0.264808077296249,0.419802803260886,0.419802803260886,0.419802803260886,0.285608162958437,NA,-0.220325189913599,0.13993222919826,-0.970486408715344
"linesadded",0.0545164369197628,0.652590225038384,0.777801136252094,NA,0.490158955409188,0.391923710801684,0.457909269932962,1,0.997011158231889,NA,-0.0486704389480437,0.427296744469413,0.427296744469413,0.427296744469413,0.242441978363867,NA,-0.549689269892473,0.50552730255756,-0.473941123795633
"linesremoved",0.0285415817298527,0.622248321774626,0.770326511563293,NA,0.47647211584655,0.393919176904344,0.4402248447773,0.997011158231889,1,NA,-0.0486848160230313,0.361193484484385,0.361193484484385,0.361193484484385,0.170496917333889,NA,-0.558959548024824,0.506640842682217,-0.456993824221391
"ReviewGotMerged",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X",0.430619950028292,0.27658965021399,-0.287357442500738,NA,-0.571934491231787,-0.524720035060033,-0.264808077296249,-0.0486704389480437,-0.0486848160230313,NA,1,0.0200953441466841,0.0200953441466841,0.0200953441466841,0.0701223012563847,NA,0.372380867242135,-0.420982220124714,0.248416561472228
"in_degree",0.280207149653694,0.593678863803037,0.454819833719575,NA,0.392968989699652,0.282319201147958,0.419802803260886,0.427296744469413,0.361193484484385,NA,0.0200953441466841,1,1,1,0.809154779878678,NA,-0.181710069635809,0.0491952151419849,-0.464094430351631
"out_degree",0.280207149653694,0.593678863803037,0.454819833719575,NA,0.392968989699652,0.282319201147958,0.419802803260886,0.427296744469413,0.361193484484385,NA,0.0200953441466841,1,1,1,0.809154779878678,NA,-0.181710069635809,0.0491952151419849,-0.464094430351631
"degree",0.280207149653694,0.593678863803037,0.454819833719575,NA,0.392968989699652,0.282319201147958,0.419802803260886,0.427296744469413,0.361193484484385,NA,0.0200953441466841,1,1,1,0.809154779878678,NA,-0.181710069635809,0.0491952151419849,-0.464094430351631
"betweenness",0.358518321800701,0.642182347923949,0.0766848268703576,NA,0.0822439688910353,-0.118776613091245,0.285608162958437,0.242441978363867,0.170496917333889,NA,0.0701223012563847,0.809154779878678,0.809154779878678,0.809154779878678,1,NA,0.216222907914037,0.00357681944729907,-0.269851640679123
"clustcoeff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"closeness",0.113427487504238,0.219418231628626,-0.930889535402078,NA,-0.816643154155407,-0.614872913738266,-0.220325189913599,-0.549689269892473,-0.558959548024824,NA,0.372380867242135,-0.181710069635809,-0.181710069635809,-0.181710069635809,0.216222907914037,NA,1,-0.80939843813406,0.195630349928127
"eigencentrality",-0.0335348438359077,-0.192516811885307,0.759140578409214,NA,0.692247213521351,0.308783107547406,0.13993222919826,0.50552730255756,0.506640842682217,NA,-0.420982220124714,0.0491952151419849,0.0491952151419849,0.0491952151419849,0.00357681944729907,NA,-0.80939843813406,1,-0.0340791859821155
"upeople_id",0.114205531956158,-0.462645548111472,-0.369830037679635,NA,-0.440884745960742,-0.68229785916681,-0.970486408715344,-0.473941123795633,-0.456993824221391,NA,0.248416561472228,-0.464094430351631,-0.464094430351631,-0.464094430351631,-0.269851640679123,NA,0.195630349928127,-0.0340791859821155,1
