"","no_of_bug_owned","avg_resolution","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
"no_of_bug_owned",1,NA,0.506064184263813,0.588099542121018,0.0757699266947758,0.140676500718471,-0.194342090432504,0.46176877347637,0.460355347190252,0.581083687805787,0.493663783565223,0.289689463801515,0.289689463801515,0.289689463801515,-0.278316959027656,-0.140310399734056,0.0981543074869647,0.444551239488638,0.0475544401334374
"avg_resolution",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"scmChanges",0.506064184263813,NA,1,0.896178214425439,0.592886140146425,0.110502332647184,0.303169987201078,0.913466382241072,0.920728684676942,0.905002017509551,-0.104711058917443,0.675921344445377,0.675921344445377,0.675921344445377,-0.0104246198809541,-0.255555888688993,0.229027666492993,0.936707181650378,-0.225850263318183
"scrChanges",0.588099542121018,NA,0.896178214425439,1,0.469690881860819,0.064244021914319,0.195369146367358,0.835449160034059,0.835376890389303,0.999621027982924,0.12109944486511,0.616235124597201,0.616235124597201,0.616235124597201,-0.168733640925191,-0.263457044199749,0.198982645149614,0.824894646631918,-0.209899511556522
"mslChanges",0.0757699266947758,NA,0.592886140146425,0.469690881860819,1,0.343146365047121,0.293663930417277,0.446709497748577,0.467776383338516,0.480643748484003,-0.359420742717815,0.642426788409005,0.642426788409005,0.642426788409005,0.176563566424845,-0.27015272062857,0.335709116016743,0.592432429927775,-0.248679644640035
"number_of_domain",0.140676500718471,NA,0.110502332647184,0.064244021914319,0.343146365047121,1,-0.0940104915782991,-0.00459475656569432,-0.011045763533278,0.0679456745615703,-0.19322453990007,0.173766195460299,0.173766195460299,0.173766195460299,0.0711492235807926,-0.371526664146469,-0.00432284144149405,0.205883793821139,0.294851377155194
"country",-0.194342090432504,NA,0.303169987201078,0.195369146367358,0.293663930417277,-0.0940104915782991,1,0.280148898651662,0.240020624326675,0.200450796006015,-0.59455831462605,0.624136862756807,0.624136862756807,0.624136862756807,0.390601917999991,0.312586612820831,0.544718539330544,0.400501257234542,-0.804557425438257
"linesadded",0.46176877347637,NA,0.913466382241072,0.835449160034059,0.446709497748577,-0.00459475656569432,0.280148898651662,1,0.990546070681521,0.842587550184419,-0.169180197261921,0.575571574315634,0.575571574315634,0.575571574315634,-0.0564804410958555,-0.201389752474568,0.284466581180499,0.817629701914396,-0.255171200013638
"linesremoved",0.460355347190252,NA,0.920728684676942,0.835376890389303,0.467776383338516,-0.011045763533278,0.240020624326675,0.990546070681521,1,0.844263268079129,-0.162116376442442,0.53626957391716,0.53626957391716,0.53626957391716,-0.0920135878547129,-0.190308617186511,0.232862776668228,0.787627565971784,-0.218696950001498
"ReviewGotMerged",0.581083687805787,NA,0.905002017509551,0.999621027982924,0.480643748484003,0.0679456745615703,0.200450796006015,0.842587550184419,0.844263268079129,1,0.108913636379763,0.616337399940643,0.616337399940643,0.616337399940643,-0.167966388482732,-0.265561665258003,0.192907410444193,0.831042650158991,-0.206481289871498
"X",0.493663783565223,NA,-0.104711058917443,0.12109944486511,-0.359420742717815,-0.19322453990007,-0.59455831462605,-0.169180197261921,-0.162116376442442,0.108913636379763,1,-0.279009363603163,-0.279009363603163,-0.279009363603163,-0.296770005539251,-0.358122520969727,-0.40836148070522,-0.150227837189916,0.453627505990473
"in_degree",0.289689463801515,NA,0.675921344445377,0.616235124597201,0.642426788409005,0.173766195460299,0.624136862756807,0.575571574315634,0.53626957391716,0.616337399940643,-0.279009363603163,1,1,1,0.331699881564253,-0.275748748567685,0.618013904118229,0.798275030780425,-0.567454835323631
"out_degree",0.289689463801515,NA,0.675921344445377,0.616235124597201,0.642426788409005,0.173766195460299,0.624136862756807,0.575571574315634,0.53626957391716,0.616337399940643,-0.279009363603163,1,1,1,0.331699881564253,-0.275748748567685,0.618013904118229,0.798275030780425,-0.567454835323631
