"","no_of_bug_owned","avg_resolution","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
"no_of_bug_owned",1,-0.0214954611426982,0.213020255920646,0.0420251940382264,0.184598363395452,-0.0283337252663374,-0.0653883327901195,0.211366205018958,0.213447748410749,0.0881107443249421,-0.0349096520937173,0.144530145364612,0.144530145364612,0.144530145364612,0.0713306430342428,-0.0216399122294918,0.018951314482761,0.210073467093644,0.0809239580166713
"avg_resolution",-0.0214954611426982,1,-0.0366635311660808,-0.0588555500014992,-0.0402332214606113,-0.00223696491705482,0.167934064006131,-0.0348408268372655,-0.0367637587371421,-0.0336490549610415,0.319153722862921,0.139575104373567,0.139575104373567,0.139575104373567,0.133596155895475,0.389531525305882,0.368905717228838,-0.0379211332851536,-0.22764522319397
"scmChanges",0.213020255920646,-0.0366635311660808,1,0.283048703713411,0.856436846092725,0.197217471353841,0.215098891899072,0.905962807870244,0.917767785829799,0.429011827520281,-0.195770125263957,0.747614215049716,0.747614215049716,0.747614215049716,0.44501913657842,0.150517620530272,0.363828031993534,0.939010720013609,-0.216588071099219
"scrChanges",0.0420251940382264,-0.0588555500014992,0.283048703713411,1,0.209427239631526,0.147832635143161,0.156237998520816,0.263452247430383,0.283266602049222,0.818480457609716,-0.137092039867776,0.402890476450555,0.402890476450555,0.402890476450555,0.39841340474566,0.189143239408715,0.254697401757024,0.26429775632237,-0.212045864947826
"mslChanges",0.184598363395452,-0.0402332214606113,0.856436846092725,0.209427239631526,1,0.179994753382058,0.122059253624833,0.814823654588307,0.824548706725519,0.33280675153982,-0.215488370629612,0.576109429094365,0.576109429094365,0.576109429094365,0.360347567577333,0.114721991821169,0.269702650920901,0.785920199481292,-0.147916124501922
"number_of_domain",-0.0283337252663374,-0.00223696491705482,0.197217471353841,0.147832635143161,0.179994753382058,1,0.374626566099674,0.15911808814062,0.157606163993962,0.169100974356627,-0.16561914460938,0.237095966505096,0.237095966505096,0.237095966505096,0.155888482635942,0.218272075203824,0.310617144565181,0.182138976398963,-0.388083394737268
"country",-0.0653883327901195,0.167934064006131,0.215098891899072,0.156237998520816,0.122059253624833,0.374626566099674,1,0.187972681558157,0.180911079923225,0.155059260705985,-0.138760793319232,0.376467305699123,0.376467305699123,0.376467305699123,0.263050300336077,0.485456189055594,0.590079191409678,0.20100505560005,-0.964059965143701
"linesadded",0.211366205018958,-0.0348408268372655,0.905962807870244,0.263452247430383,0.814823654588307,0.15911808814062,0.187972681558157,1,0.998006412495963,0.402779108673439,-0.201858481967574,0.75501854201283,0.75501854201283,0.75501854201283,0.441933604183436,0.134608478279266,0.362646186223809,0.978640114896338,-0.216674758329562
"linesremoved",0.213447748410749,-0.0367637587371421,0.917767785829799,0.283266602049222,0.824548706725519,0.157606163993962,0.180911079923225,0.998006412495963,1,0.42706850274392,-0.200155225666575,0.751847231291694,0.751847231291694,0.751847231291694,0.439574242699869,0.123156948794351,0.349523798363357,0.981813893370725,-0.208711131799357
"ReviewGotMerged",0.0881107443249421,-0.0336490549610415,0.429011827520281,0.818480457609716,0.33280675153982,0.169100974356627,0.155059260705985,0.402779108673439,0.42706850274392,1,-0.181231269540857,0.578415043728047,0.578415043728047,0.578415043728047,0.517042257793165,0.177580532689774,0.314256930947347,0.403748271672753,-0.185990232287804
"X",-0.0349096520937173,0.319153722862921,-0.195770125263957,-0.137092039867776,-0.215488370629612,-0.16561914460938,-0.138760793319232,-0.201858481967574,-0.200155225666575,-0.181231269540857,1,-0.147269267253518,-0.147269267253518,-0.147269267253518,-0.153353367856385,0.0468122107874337,0.0471084267489374,-0.186116272589337,0.169392870640033
"in_degree",0.144530145364612,0.139575104373567,0.747614215049716,0.402890476450555,0.576109429094365,0.237095966505096,0.376467305699123,0.75501854201283,0.751847231291694,0.578415043728047,-0.147269267253518,1,1,1,0.777642301432031,0.429962275446396,0.679523200598386,0.765027122980118,-0.407176144191706
"out_degree",0.144530145364612,0.139575104373567,0.747614215049716,0.402890476450555,0.576109429094365,0.237095966505096,0.376467305699123,0.75501854201283,0.751847231291694,0.578415043728047,-0.147269267253518,1,1,1,0.777642301432031,0.429962275446396,0.679523200598386,0.765027122980118,-0.407176144191706
"degree",0.144530145364612,0.139575104373567,0.747614215049716,0.402890476450555,0.576109429094365,0.237095966505096,0.376467305699123,0.75501854201283,0.751847231291694,0.578415043728047,-0.147269267253518,1,1,1,0.777642301432031,0.429962275446396,0.679523200598386,0.765027122980118,-0.407176144191706
"betweenness",0.0713306430342428,0.133596155895475,0.44501913657842,0.39841340474566,0.360347567577333,0.155888482635942,0.263050300336077,0.441933604183436,0.439574242699869,0.517042257793165,-0.153353367856385,0.777642301432031,0.777642301432031,0.777642301432031,1,0.403188385226993,0.567323023126515,0.441003724124119,-0.333911842232775
"clustcoeff",-0.0216399122294918,0.389531525305882,0.150517620530272,0.189143239408715,0.114721991821169,0.218272075203824,0.485456189055594,0.134608478279266,0.123156948794351,0.177580532689774,0.0468122107874337,0.429962275446396,0.429962275446396,0.429962275446396,0.403188385226993,1,0.809904758771704,0.135378971739091,-0.495484327041589
"closeness",0.018951314482761,0.368905717228838,0.363828031993534,0.254697401757024,0.269702650920901,0.310617144565181,0.590079191409678,0.362646186223809,0.349523798363357,0.314256930947347,0.0471084267489374,0.679523200598386,0.679523200598386,0.679523200598386,0.567323023126515,0.809904758771704,1,0.367073598570013,-0.609933478579851
"eigencentrality",0.210073467093644,-0.0379211332851536,0.939010720013609,0.26429775632237,0.785920199481292,0.182138976398963,0.20100505560005,0.978640114896338,0.981813893370725,0.403748271672753,-0.186116272589337,0.765027122980118,0.765027122980118,0.765027122980118,0.441003724124119,0.135378971739091,0.367073598570013,1,-0.219034678129079
"upeople_id",0.0809239580166713,-0.22764522319397,-0.216588071099219,-0.212045864947826,-0.147916124501922,-0.388083394737268,-0.964059965143701,-0.216674758329562,-0.208711131799357,-0.185990232287804,0.169392870640033,-0.407176144191706,-0.407176144191706,-0.407176144191706,-0.333911842232775,-0.495484327041589,-0.609933478579851,-0.219034678129079,1
