"upeople_id","117scmChanges","totalChangesMadeInSCM","111scrChanges","1mslChanges"
"1",527,132,132,663,7
"2",378235,341,341,772,195
"3",378243,56,56,655,17
"4",415,92,92,77,36
"5",1533,13,13,2,95
"6",678,67,67,330,66
"7",818,23,23,52,30
"8",683,4,4,41,21
"9",679,5,5,15,0
"10",682,1,1,2,0
"11",1558,2,2,2,0
"12",1527,4,4,67,0
"13",1525,4,4,0,0
"14",2678,2,2,0,0
"15",1529,0,0,0,0
"16",298233,1,1,0,0
"17",543,7,7,0,0
"18",1534,0,0,0,0
"19",443877,0,0,0,0
