"upeople_id","X117scmChanges","X111scrChanges","X1mslChanges","number_of_domain","country","X117linesadded","X117linesremoved","X111ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
415,132,663,7,3,6,10350,2562,591,4,14,14,14,21,0.263736263736264,0.0288,0.744119557136609
527,341,772,195,4,10,160266,126674,694,1,16,16,16,26,0.2,0.0297520661157025,0.402514545434225
543,56,655,17,4,7,2423,4949,587,17,18,18,18,9,0.169934640522876,0.0252100840336134,1
678,92,77,36,2,9,36684,23836,70,6,2,2,2,0,0,0.00591327201051248,0.0459367761732293
679,13,2,95,4,6,185,153,1,9,0,0,0,0,0,0.0526315789473684,0.00265498725057247
682,67,0,66,1,9,5170,3265,0,10,0,0,0,0,0,0.0526315789473684,0.00265498725057247
683,23,330,30,3,8,12927,2841,293,8,10,10,10,0,0.4,0.0267062314540059,0.901201108934748
818,4,0,0,3,6,215,16,0,7,0,0,0,0,0,0.0526315789473684,0.00265498725057247
1525,5,0,21,2,9,115,32,0,13,0,0,0,0,0,0.0526315789473684,0.00265498725057247
1527,1,0,0,2,6,85,1,0,12,0,0,0,0,0,0.0526315789473684,0.00265498725057247
1529,2,52,0,1,10,56,8,35,15,6,6,6,0,0.4,0.0242587601078167,0.0268775411634825
1533,4,41,0,1,6,323,156,39,5,8,8,8,0,0.428571428571429,0.0284810126582278,0.148608760556429
1534,4,15,0,2,9,87,17,9,18,8,8,8,25,0.428571428571429,0.0299003322259136,0.0277474184134917
1558,2,2,0,1,9,2,2,2,11,4,4,4,16,0.333333333333333,0.0285714285714286,0.00532954363762784
2678,0,0,0,1,8,0,0,0,14,0,0,0,0,0,0.0526315789473684,0.00265498725057247
298233,1,2,0,2,0,101,0,2,16,2,2,2,0,0,0.0234375,0.00250800387100153
378235,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0.0526315789473684,0.00265498725057247
378243,0,0,0,13,0,0,0,0,3,0,0,0,0,0,0.0526315789473684,0.00265498725057247
443877,7,67,0,2,0,1575,87,65,19,4,4,4,0,0.333333333333333,0.0284810126582278,0.300475960333456
