"upeople_id","X264scmChanges","X214scrChanges","X1mslChanges","number_of_domain","country","X264linesadded","X264linesremoved","X214ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
415,13,28,0,3,6,138,92,24,4,4,4,4,0,0.333333333333333,0.020979020979021,0.567624685571078
527,762,191,26,4,10,57314,40159,186,1,6,6,6,4,0.266666666666667,0.0350194552529183,0.879613399920201
543,21,171,0,4,7,1413,8609,157,10,10,10,10,7,0.0888888888888889,0.0414746543778802,1
1534,2,2,0,2,9,7,4,2,7,2,2,2,0,0,0.036734693877551,0.0320783566457459
1554,1,0,0,2,8,101,0,0,6,0,0,0,0,0,0.1,0.109175779993253
2262,1,12,0,2,9,108,3,12,9,2,2,2,0,0,0.0178217821782178,0.347533647059744
2340,2,5,5,6,8,258,82,5,5,4,4,4,6,0.333333333333333,0.0414746543778802,0.105668720814934
378235,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0.1,0.109175779993253
378243,0,0,0,13,0,0,0,0,3,0,0,0,0,0,0.1,0.109175779993253
447392,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0.1,0.109175779993253
