"upeople_id","X65scmChanges","X72scmChanges","X105scmChanges","X109scmChanges","X113scmChanges","X142scmChanges","X182scmChanges","X263scmChanges","X274scmChanges","X293scmChanges","X378scmChanges","X389scmChanges","X406scmChanges","X59scrChanges","X77scrChanges","X98scrChanges","X118scrChanges","X126scrChanges","X169scrChanges","X212scrChanges","X221scrChanges","X248scrChanges","X280scrChanges","X356scrChanges","X369scrChanges","X391scrChanges","X1mslChanges","X2mslChanges","X3mslChanges","X4mslChanges","X5mslChanges","X6mslChanges","X7mslChanges","X8mslChanges","X9mslChanges","X10mslChanges","X11mslChanges","number_of_domain","country","X65linesadded","X65linesremoved","X72linesadded","X72linesremoved","X105linesadded","X105linesremoved","X109linesadded","X109linesremoved","X113linesadded","X113linesremoved","X142linesadded","X142linesremoved","X182linesadded","X182linesremoved","X263linesadded","X263linesremoved","X274linesadded","X274linesremoved","X293linesadded","X293linesremoved","X378linesadded","X378linesremoved","X389linesadded","X389linesremoved","X406linesadded","X406linesremoved","X59ReviewGotMerged","X77ReviewGotMerged","X98ReviewGotMerged","X118ReviewGotMerged","X126ReviewGotMerged","X169ReviewGotMerged","X212ReviewGotMerged","X221ReviewGotMerged","X248ReviewGotMerged","X280ReviewGotMerged","X356ReviewGotMerged","X369ReviewGotMerged","X391ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
23,0,1,0,0,0,0,9,0,0,1,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,8,0,0,2,1,3,6,0,0,53,11,0,0,0,0,0,0,0,0,24,22,0,0,0,0,59,9,0,0,81365,42790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0.00366300366300366,4.21486346659352e-05
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,39,6,0,0,2,0,0,0,13,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0.00366300366300366,4.21486346659352e-05
29,0,4,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,34,16,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,172,83,0,0,0,0,0,0,1,0,6,7,0,0,0,0,0,179,0,0,0,0,0,0.00366300366300366,4.21486346659352e-05
32,1,31,0,3,0,0,2,0,7,4,24,0,0,24,0,0,0,30,108,109,0,1,0,0,6,22,0,0,3,0,0,0,0,0,0,0,2,2,9,7,0,7006,2346,0,0,188,35,0,0,0,0,62,4,0,0,343,210,192,42,997,414,0,0,0,0,22,0,0,0,28,75,97,0,1,0,0,6,20,146,6,6,6,2,0.266666666666667,0.00395274148780027,0.709916791075
33,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,1,0,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2289,1369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0.00366300366300366,4.21486346659352e-05
177,113,65,56,10,7,0,132,13,15,11,11,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,6,2,6,5423,2155,20082,10706,11165,5700,4322,3105,157,24,0,0,3225,3116,2362,1053,13495,8201,3039,2466,4738,3475,6993,4949,8438,4778,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0.00366300366300366,4.21486346659352e-05
179,0,0,0,7,0,0,332,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,1,0,0,0,0,9,5,9,0,0,0,0,0,0,21,7,0,0,0,0,24514,21948,0,0,0,0,0,0,0,0,0,0,70,6,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0.00366300366300366,4.21486346659352e-05
182,0,0,0,46,0,0,210,0,0,73,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,8,72,11,0,0,15,3,6,0,0,0,0,0,0,1754,3123,0,0,0,0,24242,29361,0,0,0,0,11789,2978,0,0,0,0,86,82,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0.00366300366300366,4.21486346659352e-05
185,193,131,0,0,0,0,388,0,307,0,1,0,582,0,0,0,0,0,0,0,0,0,0,0,0,0,157,1,1,0,0,1,3,3,0,3,8,4,10,18789,11311,7748,4473,0,0,0,0,0,0,0,0,4790,3777,0,0,26095,31579,0,0,0,0,0,0,145902,107487,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0.00366300366300366,4.21486346659352e-05
189,0,407,881,0,0,0,556,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,19,139,0,0,0,3,2,10,0,0,53791,28314,164288,108720,0,0,0,0,0,0,7481,3498,89868,48858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0.00366300366300366,4.21486346659352e-05
193,0,14,3077,0,0,0,552,0,0,0,0,2506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,32,3,2,179,0,0,0,1,5,8,0,0,197,125,335659,224954,0,0,0,0,0,0,4356,3385,0,0,0,0,0,0,0,0,136853,190841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0.00366300366300366,4.21486346659352e-05
197,7,225,13,208,0,1,765,9,99,59,0,18,4,2,0,0,0,8,1,18,0,0,0,0,3,5,10,0,3,3,2,0,194,30,0,32,31,3,7,156,54,4966,11070,59,52,12023,9584,0,0,1,0,187263,15958,1706,1113,1538,793,2039,1300,0,0,756,361,64,64,2,0,0,0,7,1,17,0,0,0,0,3,5,31,6,6,6,44,0.266666666666667,0.0039539481335039,0.0480978332401468
199,5,72,3,1,0,8,8,2,7,1,6,2,7,0,0,0,0,0,3,25,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,3,6,12,4,5541,3065,3,0,1,0,0,0,1582,14,85,7,6,5,121,23,1,0,266,12,2,1,275,65,0,0,0,0,0,1,25,0,0,0,0,1,0,12,2,2,2,0,0,0.00392524713182769,0.0141746632013405
234,0,0,373,0,0,0,83,0,0,0,0,1035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,159,2,103,0,16,14,0,0,0,103,4,10,0,0,0,0,5714,1611,0,0,0,0,0,0,2620,1537,0,0,0,0,0,0,0,0,231966,146587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0.00366300366300366,4.21486346659352e-05
245,12,0,0,92,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,7,0,4,6,375,47,0,0,0,0,5100,10992,0,0,0,0,98,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0.00366300366300366,4.21486346659352e-05
247,1,0,0,0,0,0,148,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,5,9,1,1,0,0,0,0,0,0,0,0,0,0,4540,13152,0,0,0,0,220,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0.00366300366300366,4.21486346659352e-05
249,87,211,3,6,0,0,351,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,3,5,28,42,0,0,0,8,3,6,9463,7297,87423,81604,2,2,35,11,0,0,0,0,18622,15187,2366,1210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0.00366300366300366,4.21486346659352e-05
251,0,0,0,4,0,0,101,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,1,0,4,10,0,0,0,0,0,0,102,76,0,0,0,0,9050,7324,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0.00366300366300366,4.21486346659352e-05
252,0,0,0,1,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,6,0,4,7,0,0,0,0,0,0,144,31,0,0,0,0,525,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0.00366300366300366,4.21486346659352e-05
253,0,0,0,17,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,2,0,2,7,0,0,0,0,0,0,1401,342,0,0,0,0,3265,1764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0.00366300366300366,4.21486346659352e-05
254,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,39,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0.00366300366300366,4.21486346659352e-05
258,3,11,1,5,0,0,3,0,0,22,74,0,21,0,0,0,0,0,90,28,0,4,26,0,0,57,0,0,2,0,0,0,3,0,0,0,5,2,9,11,6,1226,649,74,36,235,55,0,0,0,0,192,46,0,0,0,0,917,108,3580,1078,0,0,1395,315,0,0,0,0,0,71,24,0,2,21,0,0,53,22,12,12,12,113,0.181818181818182,0.00397812033814023,0.0318439239717921
259,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0.00366300366300366,4.21486346659352e-05
269,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,2511,2539,0,0,0,0,0,0,0,0,0,0,115,96,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0.00366300366300366,4.21486346659352e-05
272,0,5,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,40,0,14,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,0,0,38,26,0,0,0,0,0,0,0,0,0,0,0,0,383,151,6,2,0,0,0,0,0,0,0,0,0,0,36,0,2,0,0,0,0,0,0,178,2,2,2,0,0,0.00393148803931488,0.0671168657517429
273,374,10,70,0,1033,0,24,1,0,0,1,0,1,0,0,0,10,0,0,4,0,57,1,3,4,0,0,0,1,0,7,0,746,0,0,1,16,7,9,22811,30420,52,104,6200,6415,0,0,98457,120745,0,0,291,153,2,33,0,0,0,0,4,2,0,0,16,16,0,0,0,8,0,0,4,0,51,1,3,4,0,25,4,4,4,0,0.333333333333333,0.00397410984322721,0.0299993063774341
276,1,483,9,0,0,0,15,5,2,37,0,8,1,13,24,0,56,42,1,4093,48,7,9,0,55,220,11,0,0,0,0,0,14,0,0,1,161,5,8,7,0,15483332,8053385,164,935,0,0,0,0,0,0,255,58,14,30,4,32,1604,2150,0,0,405,406,4,2,2,20,0,39,16,0,3486,44,3,4,0,55,199,2,46,46,46,227,0.0231884057971014,0.0039791096742104,1
278,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,1137,46,0,0,5,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0.00366300366300366,4.21486346659352e-05
286,0,14,0,1,0,0,0,0,0,0,2,0,2,9,0,0,0,6,8,107,0,0,10,0,0,0,0,0,0,0,16,0,36,0,0,0,36,3,6,0,0,2409,363,0,0,28,35,0,0,0,0,0,0,0,0,0,0,0,0,36,31,0,0,24,28,3,0,0,0,3,3,67,0,0,3,0,0,0,13,6,6,6,23,0.133333333333333,0.00397271678326785,0.211244958276692
319,0,0,0,0,0,0,857,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,7,475,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,35371,20789,0,0,0,0,0,0,0,0,0,0,287,266,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0.00366300366300366,4.21486346659352e-05
320,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,3,7,0,0,0,0,185,30,0,0,0,0,0,0,86,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0.00366300366300366,4.21486346659352e-05
369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0.00366300366300366,4.21486346659352e-05
410,0,0,0,0,0,0,1,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,6756,2045,0,0,0,0,0,0,0,0,0,56,0,0,0,16,0,0,0,0,0,0.00366300366300366,4.21486346659352e-05
411,85,464,152,0,7,0,1453,22,0,1338,2242,0,4,0,0,0,0,0,37,76,0,0,0,0,3,55,0,7,488,13,44,48,335,0,5,1,93,4,6,10610,7420,41204,42439,7734,18787,0,0,100,106,0,0,46794,51038,917,3963,0,0,73748,43519,152272,106154,0,0,28,2,0,0,0,0,0,29,73,0,0,0,0,3,51,18,2,2,2,0,0,0.00397109278049493,0.0111816795937929
412,0,8,48,0,0,0,411,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,12,2,7,0,0,79,9,1121,2267,0,0,0,0,0,0,3465,1905,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0.00366300366300366,4.21486346659352e-05
413,0,0,0,0,0,886,305,0,3289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,14,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,2007,2500,6898,6898,0,0,1095149,1364486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0.00366300366300366,4.21486346659352e-05
415,11,1,0,0,0,0,256,0,0,0,0,0,913,0,0,0,0,0,0,1,0,0,42,0,0,0,0,0,0,0,0,0,82,0,186,0,0,3,6,1413,775,31,8,0,0,0,0,0,0,0,0,1638,1447,0,0,0,0,0,0,0,0,0,0,120308,86245,0,0,0,0,0,0,1,0,0,29,0,0,0,3,0,0,0,0,0,0.00366300366300366,4.21486346659352e-05
430,2,113,29,0,0,359,212,0,650,0,0,0,189,0,0,0,0,10,0,3,0,0,0,0,0,0,29,0,0,0,0,0,82,0,4,0,3,2,7,33,12,17526,10720,551,393,0,0,0,0,10988,1304,2546,1854,0,0,21312,11894,0,0,0,0,0,0,20204,9691,0,0,0,0,9,0,3,0,0,0,0,0,0,116,0,0,0,0,0,0.00366300366300366,4.21486346659352e-05
432,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,9,0,0,44117,6418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0.00366300366300366,4.21486346659352e-05
443,0,1,32,0,0,505,305,2,3579,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,18,0,126,0,0,0,0,1,10,0,0,24,0,1346,647,0,0,0,0,14332,2233,2587,1932,20,8,334334,407095,106,53,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0.00366300366300366,4.21486346659352e-05
460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0.00366300366300366,4.21486346659352e-05
478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0.00366300366300366,4.21486346659352e-05
494,0,0,0,0,0,0,2,0,0,1,30,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,45,0,7,0,34,0,12,0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,48,13,1639,213,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0.00366300366300366,4.21486346659352e-05
526,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,17,15,0,0,0,5,0,8,0,18,6,9,0,0,2030,1813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0.00366300366300366,4.21486346659352e-05
587,0,3,0,0,0,17,4,1,348,1,0,0,0,0,1,47,0,605,1,0,0,0,1,0,11,6,35,0,0,0,0,0,2,0,0,0,0,5,8,0,0,3,4,0,0,0,0,0,0,1915,10397,34,55,2,2,17193,278791,122,107,0,0,0,0,0,0,0,1,47,0,564,0,0,0,0,0,0,9,4,14,0,0,0,0,0,0.00366300366300366,4.21486346659352e-05
610,4,1,149,0,0,0,462,1,0,0,0,931,0,0,0,0,5,0,0,9,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,2001,368,1,1,21101,21558,0,0,0,0,0,0,18599,12974,6,4,0,0,0,0,0,0,42468,35229,0,0,0,0,0,4,0,0,6,52,0,0,0,0,0,17,0,0,0,0,0,0.00366300366300366,4.21486346659352e-05
