"upeople_id","X197scmChanges","X420scmChanges","X432scmChanges","X439scmChanges","X318scrChanges","X364scrChanges","X458scrChanges","X459scrChanges","X1mslChanges","number_of_domain","country","X197linesadded","X197linesremoved","X420linesadded","X420linesremoved","X432linesadded","X432linesremoved","X439linesadded","X439linesremoved","X318ReviewGotMerged","X364ReviewGotMerged","X458ReviewGotMerged","X459ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
3209,0,8,0,0,9,0,0,0,1,4,8,0,0,689,214,0,0,0,0,9,0,0,0,62,4,4,4,0,0.333333333333333,0.0213996529786003,0.0409050411633961
3212,0,1,0,0,0,0,0,0,0,1,6,0,0,12,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.0133333333333333,0.000469265727874714
3213,0,6,0,0,12,0,0,0,0,1,10,0,0,4407,479,0,0,0,0,1,0,0,0,52,4,4,4,0,0.333333333333333,0.0210227272727273,0.154940354637639
3214,0,1,0,0,5,0,0,0,0,4,9,0,0,1934,394,0,0,0,0,3,0,0,0,43,2,2,2,0,0,0.0194839389152185,0.00256584539308636
3360,0,3,0,0,0,0,0,0,0,2,10,0,0,15,34,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0.0133333333333333,0.000469265727874714
64715,0,21,0,0,38,0,0,0,0,3,0,0,0,1908,111,0,0,0,0,38,0,0,0,61,8,8,8,0,0.428571428571429,0.0210048254328697,0.143535884654369
378243,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0.0133333333333333,0.000469265727874714
381076,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,75,2,2,2,0,0,0.017169373549884,0.0514886261188039
385409,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0.0133333333333333,0.000469265727874714
385410,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,11,2,2,2,0,0,0.0190672507085803,0.0275821051914882
385418,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,24,4,4,4,0,0.333333333333333,0.0210466439135381,0.0407262334893869
385421,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0.0133333333333333,0.000469265727874714
385422,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0.0133333333333333,0.000469265727874714
385425,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0.0133333333333333,0.000469265727874714
385431,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0.0133333333333333,0.000469265727874714
385479,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0.0133333333333333,0.000469265727874714
385766,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0.0133333333333333,0.000469265727874714
396936,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0.0133333333333333,0.000469265727874714
396964,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0.0133333333333333,0.000469265727874714
396965,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0.0133333333333333,0.000469265727874714
396966,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0.0133333333333333,0.000469265727874714
396973,0,0,0,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,0,0,0,45,6,6,6,0,0.4,0.019255789747593,0.0622757810206914
407215,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0.0133333333333333,0.000469265727874714
407715,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0.0133333333333333,0.000469265727874714
407725,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0.0133333333333333,0.000469265727874714
407727,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0.0133333333333333,0.000469265727874714
407731,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0.0133333333333333,0.000469265727874714
407735,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0.0133333333333333,0.000469265727874714
407745,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0.0133333333333333,0.000469265727874714
407746,0,0,0,0,31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27,0,0,0,54,4,4,4,0,0.333333333333333,0.0174158625558955,0.262425715352663
431712,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0.0133333333333333,0.000469265727874714
431713,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0.0133333333333333,0.000469265727874714
431826,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0.0133333333333333,0.000469265727874714
432315,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0.0133333333333333,0.000469265727874714
432421,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0.0133333333333333,0.000469265727874714
434643,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0.0133333333333333,0.000469265727874714
434740,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0.0133333333333333,0.000469265727874714
443759,0,2,0,0,2,0,0,0,0,1,0,0,0,55,4,0,0,0,0,2,0,0,0,71,2,2,2,0,0,0.0210346787947698,0.0073535103138162
446155,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,63,2,2,2,0,0,0.0177118238391575,0.0441327735552417
447467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0.0133333333333333,0.000469265727874714
447468,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,15,14,14,14,58.3333333333333,0.285714285714286,0.0216945177367341,0.00620513323403118
447470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0.0133333333333333,0.000469265727874714
447472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0.0133333333333333,0.000469265727874714
448572,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,46,10,10,10,16,0.355555555555556,0.0216058394160584,0.026945050398575
452635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0.0133333333333333,0.000469265727874714
