"upeople_id","X67scmChanges","X151scmChanges","X417scmChanges","X38scrChanges","X179scrChanges","X1mslChanges","number_of_domain","country","X67linesadded","X67linesremoved","X151linesadded","X151linesremoved","X417linesadded","X417linesremoved","X38ReviewGotMerged","X179ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
610,0,813,0,0,42,0,5,9,0,0,181841,107677,0,0,0,36,13,2,2,2,0,0,0.0115628496829541,0.252224404931226
668,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0.0106382978723404,0.0118138291262531
670,0,0,666,1,0,55,13,8,0,0,0,0,38468,23536,1,0,8,0,0,0,0,0,0.0106382978723404,0.0118138291262531
671,0,1360,40,19,180,225,3,6,0,0,145802,116501,3624,3667,13,159,9,22,22,22,81,0.00865800865800866,0.0120497538222337,1
677,0,3,0,0,7,14,5,7,0,0,229,69,0,0,0,0,88,0,0,0,0,0,0.0106382978723404,0.0118138291262531
693,43,3637,0,0,0,8,2,8,60796,10513,384473,331148,0,0,0,0,32,0,0,0,0,0,0.0106382978723404,0.0118138291262531
694,6,320,0,0,0,6,2,9,3884,47,88050,29064,0,0,0,0,73,0,0,0,0,0,0.0106382978723404,0.0118138291262531
695,15,642,0,0,0,38,2,9,1726,289,69842,55573,0,0,0,0,22,0,0,0,0,0,0.0106382978723404,0.0118138291262531
721,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0.0106382978723404,0.0118138291262531
754,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0.0106382978723404,0.0118138291262531
759,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0.0106382978723404,0.0118138291262531
765,0,0,0,0,0,10,2,10,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0.0106382978723404,0.0118138291262531
817,0,1,0,0,4,1,7,7,0,0,19,4,0,0,0,2,85,0,0,0,0,0,0.0106382978723404,0.0118138291262531
872,0,6,0,0,11,0,2,10,0,0,190,108,0,0,0,6,66,2,2,2,0,0,0.0119891710712904,0.0277029927720759
893,0,1,0,0,2,0,1,8,0,0,45,1,0,0,0,2,82,2,2,2,0,0,0.0120092975206612,0.0174973483185342
906,0,4,0,0,20,0,4,8,0,0,282,182,0,0,0,20,84,4,4,4,0,0.333333333333333,0.0116746171227718,0.579131433290569
1120,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0.0106382978723404,0.0118138291262531
1448,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0.0106382978723404,0.0118138291262531
1449,0,250,2,0,0,0,4,8,0,0,24694,15252,4,4,0,0,31,0,0,0,0,0,0.0106382978723404,0.0118138291262531
