"upeople_id","X169scmChanges","X60scrChanges","X1mslChanges","X2mslChanges","X3mslChanges","X4mslChanges","number_of_domain","country","X169linesadded","X169linesremoved","X60ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
2340,0,0,0,1,0,0,6,8,0,0,0,18,0,0,0,0,0,0.0119047619047619,0.0160399588387193
2759,0,0,0,0,0,0,2,8,0,0,0,39,0,0,0,0,0,0.0119047619047619,0.0160399588387193
3080,0,0,0,11,0,0,7,6,0,0,0,53,0,0,0,0,0,0.0119047619047619,0.0160399588387193
3217,0,0,0,0,0,0,1,9,0,0,0,25,0,0,0,0,0,0.0119047619047619,0.0160399588387193
3295,0,0,0,1,0,0,4,10,0,0,0,11,0,0,0,0,0,0.0119047619047619,0.0160399588387193
3402,0,0,0,2,1,0,3,8,0,0,0,34,0,0,0,0,0,0.0119047619047619,0.0160399588387193
309805,0,0,0,0,0,0,2,0,0,0,0,48,0,0,0,0,0,0.0119047619047619,0.0160399588387193
378235,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0.0119047619047619,0.0160399588387193
378242,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0.0119047619047619,0.0160399588387193
378243,0,0,0,0,0,0,13,0,0,0,0,5,0,0,0,0,0,0.0119047619047619,0.0160399588387193
378244,0,0,0,0,4,0,3,0,0,0,0,6,0,0,0,0,0,0.0119047619047619,0.0160399588387193
378254,0,0,0,0,11,0,3,0,0,0,0,12,0,0,0,0,0,0.0119047619047619,0.0160399588387193
378281,0,0,0,42,27,0,3,0,0,0,0,19,0,0,0,0,0,0.0119047619047619,0.0160399588387193
378297,0,0,0,4,1,0,1,0,0,0,0,20,0,0,0,0,0,0.0119047619047619,0.0160399588387193
378298,0,0,0,0,0,0,2,0,0,0,0,58,0,0,0,0,0,0.0119047619047619,0.0160399588387193
378299,0,0,0,0,0,0,2,0,0,0,0,21,0,0,0,0,0,0.0119047619047619,0.0160399588387193
378300,0,0,0,0,0,0,1,0,0,0,0,22,0,0,0,0,0,0.0119047619047619,0.0160399588387193
378304,0,0,0,0,0,0,1,0,0,0,0,23,0,0,0,0,0,0.0119047619047619,0.0160399588387193
378317,0,0,0,0,0,0,2,0,0,0,0,28,0,0,0,0,0,0.0119047619047619,0.0160399588387193
378318,0,0,0,0,6,0,1,0,0,0,0,29,0,0,0,0,0,0.0119047619047619,0.0160399588387193
378328,0,0,0,0,0,0,2,0,0,0,0,30,0,0,0,0,0,0.0119047619047619,0.0160399588387193
378330,0,0,0,0,0,0,2,0,0,0,0,31,0,0,0,0,0,0.0119047619047619,0.0160399588387193
378357,0,0,0,0,0,0,1,0,0,0,0,33,0,0,0,0,0,0.0119047619047619,0.0160399588387193
378412,0,0,0,0,0,0,3,0,0,0,0,35,0,0,0,0,0,0.0119047619047619,0.0160399588387193
379185,0,0,0,0,0,0,2,0,0,0,0,40,0,0,0,0,0,0.0119047619047619,0.0160399588387193
379489,0,0,0,0,0,0,2,0,0,0,0,41,0,0,0,0,0,0.0119047619047619,0.0160399588387193
379614,0,0,0,0,0,0,1,0,0,0,0,42,0,0,0,0,0,0.0119047619047619,0.0160399588387193
379790,0,0,0,9,7,0,1,0,0,0,0,45,0,0,0,0,0,0.0119047619047619,0.0160399588387193
381786,0,0,0,0,0,0,2,0,0,0,0,50,0,0,0,0,0,0.0119047619047619,0.0160399588387193
381797,0,0,0,0,0,0,1,0,0,0,0,51,0,0,0,0,0,0.0119047619047619,0.0160399588387193
381808,0,0,0,0,0,0,2,0,0,0,0,52,0,0,0,0,0,0.0119047619047619,0.0160399588387193
382290,0,0,0,0,0,0,1,0,0,0,0,54,0,0,0,0,0,0.0119047619047619,0.0160399588387193
382303,0,0,0,0,0,0,4,0,0,0,0,61,0,0,0,0,0,0.0119047619047619,0.0160399588387193
385869,0,0,0,0,0,0,1,0,0,0,0,59,0,0,0,0,0,0.0119047619047619,0.0160399588387193
386369,0,0,0,0,0,0,1,0,0,0,0,60,0,0,0,0,0,0.0119047619047619,0.0160399588387193
387826,0,0,0,0,0,0,1,0,0,0,0,62,0,0,0,0,0,0.0119047619047619,0.0160399588387193
387827,0,0,0,0,0,0,1,0,0,0,0,63,0,0,0,0,0,0.0119047619047619,0.0160399588387193
387832,0,0,0,0,0,0,2,0,0,0,0,64,0,0,0,0,0,0.0119047619047619,0.0160399588387193
387833,0,0,0,0,0,0,1,0,0,0,0,65,0,0,0,0,0,0.0119047619047619,0.0160399588387193
387871,0,0,0,0,0,0,1,0,0,0,0,66,0,0,0,0,0,0.0119047619047619,0.0160399588387193
387891,0,0,0,1,0,0,1,0,0,0,0,67,0,0,0,0,0,0.0119047619047619,0.0160399588387193
387900,0,0,0,0,0,0,1,0,0,0,0,69,0,0,0,0,0,0.0119047619047619,0.0160399588387193
387943,0,0,0,0,0,0,2,0,0,0,0,71,0,0,0,0,0,0.0119047619047619,0.0160399588387193
387989,0,0,0,1,0,0,1,0,0,0,0,72,0,0,0,0,0,0.0119047619047619,0.0160399588387193
401016,0,0,0,0,0,0,2,0,0,0,0,84,0,0,0,0,0,0.0119047619047619,0.0160399588387193
405861,0,0,0,4,0,0,2,0,0,0,0,73,0,0,0,0,0,0.0119047619047619,0.0160399588387193
406837,0,0,0,7,0,0,1,0,0,0,0,74,0,0,0,0,0,0.0119047619047619,0.0160399588387193
407624,0,0,0,0,0,0,1,0,0,0,0,75,0,0,0,0,0,0.0119047619047619,0.0160399588387193
411962,0,0,0,2,0,0,1,0,0,0,0,76,0,0,0,0,0,0.0119047619047619,0.0160399588387193
414745,0,0,0,0,0,0,1,0,0,0,0,77,0,0,0,0,0,0.0119047619047619,0.0160399588387193
414947,0,0,0,0,5,0,2,0,0,0,0,78,0,0,0,0,0,0.0119047619047619,0.0160399588387193
415023,0,0,0,0,0,0,1,0,0,0,0,79,0,0,0,0,0,0.0119047619047619,0.0160399588387193
415121,0,0,0,0,0,0,1,0,0,0,0,80,0,0,0,0,0,0.0119047619047619,0.0160399588387193
415355,0,0,0,5,0,0,1,0,0,0,0,81,0,0,0,0,0,0.0119047619047619,0.0160399588387193
446833,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0.0119047619047619,0.0160399588387193
447267,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0.0119047619047619,0.0160399588387193
447311,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0.0119047619047619,0.0160399588387193
447751,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0.0119047619047619,0.0160399588387193
