"upeople_id","X13scmChanges","X1mslChanges","number_of_domain","country","X13linesadded","X13linesremoved","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
160,70,1,2,7,22698,11791,9,14,14,14,0,0.021978021978022,0.112359550561798,1
161,2,4,1,8,61,312,7,4,4,4,2,0.333333333333333,0.114942528735632,0.0213478368408825
165,3,18,4,10,3,3852,4,6,6,6,2,0.266666666666667,0.114942528735632,0.0651927600218625
167,380,16,1,7,123515,120368,6,8,8,8,0,0.142857142857143,0.099009900990099,0.979096602527165
393,0,11,3,10,0,0,3,0,0,0,0,0,0.0909090909090909,0.00783775021270968
2202,0,0,1,6,0,0,5,0,0,0,0,0,0.0909090909090909,0.00783775021270968
378243,0,0,13,0,0,0,11,0,0,0,0,0,0.0909090909090909,0.00783775021270968
378323,0,4,2,0,0,0,1,0,0,0,0,0,0.0909090909090909,0.00783775021270968
381933,0,34,2,0,0,0,2,0,0,0,0,0,0.0909090909090909,0.00783775021270968
382556,0,0,3,0,0,0,8,0,0,0,0,0,0.0909090909090909,0.00783775021270968
447831,0,0,0,0,0,0,10,0,0,0,0,0,0.0909090909090909,0.00783775021270968
