"upeople_id","X33scmChanges","X45scmChanges","X56scmChanges","X86scmChanges","X107scmChanges","X116scmChanges","X184scmChanges","X193scmChanges","X203scmChanges","X228scmChanges","X230scmChanges","X241scmChanges","X299scmChanges","X313scmChanges","X348scmChanges","X385scmChanges","X390scmChanges","X391scmChanges","X419scmChanges","X1mslChanges","X2mslChanges","X3mslChanges","X4mslChanges","X5mslChanges","number_of_domain","country","X33linesadded","X33linesremoved","X45linesadded","X45linesremoved","X56linesadded","X56linesremoved","X86linesadded","X86linesremoved","X107linesadded","X107linesremoved","X116linesadded","X116linesremoved","X184linesadded","X184linesremoved","X193linesadded","X193linesremoved","X203linesadded","X203linesremoved","X228linesadded","X228linesremoved","X230linesadded","X230linesremoved","X241linesadded","X241linesremoved","X299linesadded","X299linesremoved","X313linesadded","X313linesremoved","X348linesadded","X348linesremoved","X385linesadded","X385linesremoved","X390linesadded","X390linesremoved","X391linesadded","X391linesremoved","X419linesadded","X419linesremoved","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
2705,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,202,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0.0196078431372549,0.0383467480369057
378243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0.0196078431372549,0.0383467480369057
378342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0.0196078431372549,0.0383467480369057
380822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,26,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0196078431372549,0.0383467480369057
380823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.0196078431372549,0.0383467480369057
381102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0.0196078431372549,0.0383467480369057
381452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0.0196078431372549,0.0383467480369057
382978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0.0196078431372549,0.0383467480369057
384619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,180,55,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0.0196078431372549,0.0383467480369057
384622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,136,39,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0.0196078431372549,0.0383467480369057
