"upeople_id","X110scmChanges","X285scmChanges","X287scmChanges","X466scmChanges","X139scrChanges","X451scrChanges","X1mslChanges","X2mslChanges","X3mslChanges","X4mslChanges","X5mslChanges","number_of_domain","country","X110linesadded","X110linesremoved","X285linesadded","X285linesremoved","X287linesadded","X287linesremoved","X466linesadded","X466linesremoved","X139ReviewGotMerged","X451ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
2614,0,21,0,1,55,1,0,83,76,1,0,3,9,0,0,2958,1981,0,0,1,8,53,1,38,24,24,24,52.7395521145521,0.246376811594203,0.0345721694036301,0.00545892841327861
2618,0,54,0,0,0,0,0,0,21,2,0,3,8,0,0,5294,4656,0,0,0,0,0,0,40,32,32,32,63.2666666666667,0.237903225806452,0.0346620450606586,0.00700174544562389
2622,0,6,0,0,59,0,0,131,70,84,6,3,8,0,0,1625,184,0,0,0,0,49,0,37,14,14,14,0.808080808080808,0.307692307692308,0.0342759211653813,0.00347274190936003
378228,0,1,0,0,10,0,0,34,7,1,0,3,0,0,0,8,4,0,0,0,0,6,0,41,0,0,0,0,0,0.024390243902439,3.30031458245516e-06
378243,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0.024390243902439,3.30031458245516e-06
382535,0,0,0,0,0,0,0,0,42,1,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0.024390243902439,3.30031458245516e-06
382551,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0.024390243902439,3.30031458245516e-06
384963,0,0,0,0,0,0,0,0,15,13,4,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0.024390243902439,3.30031458245516e-06
384972,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0.024390243902439,3.30031458245516e-06
385004,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0.024390243902439,3.30031458245516e-06
385010,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0.024390243902439,3.30031458245516e-06
447422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0.024390243902439,3.30031458245516e-06
