"upeople_id","X14scmChanges","X215scmChanges","X327scmChanges","X415scmChanges","X50scrChanges","X181scrChanges","X229scrChanges","X1mslChanges","number_of_domain","country","X14linesadded","X14linesremoved","X215linesadded","X215linesremoved","X327linesadded","X327linesremoved","X415linesadded","X415linesremoved","X50ReviewGotMerged","X181ReviewGotMerged","X229ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
381807,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0.0204081632653061,1.90176774565994e-09
381834,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0.0204081632653061,1.90176774565994e-09
381860,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0.0204081632653061,1.90176774565994e-09
381917,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0.0204081632653061,1.90176774565994e-09
382197,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0.0204081632653061,1.90176774565994e-09
382303,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0.0204081632653061,1.90176774565994e-09
382382,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0.0204081632653061,1.90176774565994e-09
384772,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0.0204081632653061,1.90176774565994e-09
432694,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0.0204081632653061,1.90176774565994e-09
432764,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0.0204081632653061,1.90176774565994e-09
434309,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0.0204081632653061,1.90176774565994e-09
444342,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0.0204081632653061,1.90176774565994e-09
444362,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0.0204081632653061,1.90176774565994e-09
445339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0.0204081632653061,1.90176774565994e-09
445371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0.0204081632653061,1.90176774565994e-09
447097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0.0204081632653061,1.90176774565994e-09
447507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0.0204081632653061,1.90176774565994e-09
