"upeople_id","X159scmChanges","X1mslChanges","number_of_domain","country","X159linesadded","X159linesremoved","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
348,97,4,5,7,16769,12855,1,18,18,18,0,0,0.0706521739130435,1
1799,7,15,1,7,4437,969,13,6,6,6,0,0,0.0706521739130435,0.255405182857872
378243,0,0,13,0,0,0,14,0,0,0,0,0,0.0714285714285714,0.127095967605647
382553,0,0,1,0,0,0,2,0,0,0,0,0,0.0714285714285714,0.127095967605647
382554,0,0,1,0,0,0,3,0,0,0,0,0,0.0714285714285714,0.127095967605647
382555,0,0,2,0,0,0,4,0,0,0,0,0,0.0714285714285714,0.127095967605647
382556,0,0,3,0,0,0,5,0,0,0,0,0,0.0714285714285714,0.127095967605647
382563,0,0,1,0,0,0,6,0,0,0,0,0,0.0714285714285714,0.127095967605647
382566,0,0,1,0,0,0,7,0,0,0,0,0,0.0714285714285714,0.127095967605647
382571,0,0,1,0,0,0,8,0,0,0,0,0,0.0714285714285714,0.127095967605647
382575,0,0,1,0,0,0,9,0,0,0,0,0,0.0714285714285714,0.127095967605647
382583,0,0,1,0,0,0,10,0,0,0,0,0,0.0714285714285714,0.127095967605647
382603,0,0,1,0,0,0,11,0,0,0,0,0,0.0714285714285714,0.127095967605647
382620,0,0,1,0,0,0,12,0,0,0,0,0,0.0714285714285714,0.127095967605647
