"upeople_id","X48scmChanges","X424scrChanges","X1mslChanges","number_of_domain","country","X48linesadded","X48linesremoved","X424ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
266,2,3,0,2,8,314,0,3,15,4,4,4,0,0.333333333333333,0.0599369085173502,0.00210014587106999
398,16,1,10,2,8,7771,240,1,8,24,24,24,0,0.0072463768115942,0.0781893004115226,0.105630266472424
411,0,0,0,4,6,0,0,0,6,0,0,0,0,0,0.05,3.17568891649782e-06
415,4,41,0,3,6,411,19,34,4,8,8,8,6,0.357142857142857,0.0815450643776824,0.0125554793240027
527,281,90,47,4,10,112236,27444,86,1,28,28,28,15,0.0476190476190476,0.0818965517241379,1
531,262,701,56,6,9,52914,23345,663,19,20,20,20,17,0.105263157894737,0.0794979079497908,0.686595724661226
535,67,197,56,5,9,27538,9468,169,5,16,16,16,19,0.1,0.0811965811965812,0.219802424616022
536,13,59,20,2,7,1006,136,30,11,6,6,6,0,0.133333333333333,0.076,0.0434378124283647
538,4,17,0,1,8,5704,355,17,16,8,8,8,5,0.285714285714286,0.0766129032258065,0.0393680570536389
541,1,11,0,1,8,92,69,5,14,6,6,6,18,0.4,0.0815450643776824,0.000663054730568188
544,1,14,0,2,7,86,8,14,17,4,4,4,0,0.333333333333333,0.0599369085173502,0.00210014586951633
797,2,5,0,4,9,43,9,5,10,4,4,4,0,0.333333333333333,0.0625,0.00180535582634228
910,0,1,2,4,8,0,0,0,9,0,0,0,0,0,0.05,3.17568891649782e-06
3148,0,0,0,1,8,0,0,0,7,0,0,0,0,0,0.05,3.17568891649782e-06
378235,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0.05,3.17568891649782e-06
378243,0,0,0,13,0,0,0,0,3,0,0,0,0,0,0.05,3.17568891649782e-06
385882,0,0,0,2,0,0,0,0,12,0,0,0,0,0,0.05,3.17568891649782e-06
385897,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0.05,3.17568891649782e-06
399999,0,4,0,2,0,0,0,4,18,0,0,0,0,0,0.05,3.17568891649782e-06
446283,0,4,0,2,0,0,0,4,20,0,0,0,0,0,0.05,3.17568891649782e-06
