"upeople_id","X177scmChanges","X156scrChanges","X1mslChanges","number_of_domain","country","X177linesadded","X177linesremoved","X156ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
286,10,3,71,3,6,5414,2114,3,2,10,10,10,15,0.266666666666667,0.0573770491803279,0.494917700780873
554,9,0,11,4,10,4299,2962,0,3,6,6,6,0,0.4,0.0403846153846154,0.21090121019378
743,86,0,47,1,7,42148,24236,0,5,6,6,6,0,0.4,0.0608695652173913,0.573279459371637
758,27,0,37,4,8,26014,601,0,1,10,10,10,0,0.311111111111111,0.0591549295774648,0.607212244752598
817,157,134,526,7,7,261178,257147,117,14,24,24,24,44,0.0652173913043478,0.062874251497006,1
876,32,18,40,5,7,2985,638,18,8,4,4,4,0,0.333333333333333,0.04,0.185790737849507
906,1,1,0,4,8,7,1,1,20,2,2,2,0,0,0.0608695652173913,0.00199309496488296
914,1,1,0,2,9,1,1,1,22,2,2,2,0,0,0.0608695652173913,0.00199309601619056
1730,6,24,0,3,7,231,150,22,9,4,4,4,11,0.333333333333333,0.0408560311284047,0.0411180601243217
1917,1,0,146,2,6,4,4,0,6,4,4,4,0,0.333333333333333,0.0567567567567568,0.0141745703319134
1918,20,64,10,4,8,31948,1076,53,21,22,22,22,38,0.0432900432900433,0.0626865671641791,0.0207647681127729
1925,26,121,14,3,8,14703,12530,108,18,2,2,2,0,0,0.025,0.093874383883852
1926,1,3,2,1,8,5,0,1,17,4,4,4,0,0,0.0606936416184971,6.89714264746006e-05
1928,1,8,0,1,10,351,0,5,19,0,0,0,0,0,0.0454545454545455,0.00704969284911401
382963,0,0,72,2,0,0,0,0,7,0,0,0,0,0,0.0454545454545455,0.00704969284911401
384178,0,0,0,2,0,0,0,0,15,0,0,0,0,0,0.0454545454545455,0.00704969284911401
386690,0,0,33,1,0,0,0,0,10,0,0,0,0,0,0.0454545454545455,0.00704969284911401
388540,0,0,63,2,0,0,0,0,11,0,0,0,0,0,0.0454545454545455,0.00704969284911401
389876,0,0,61,3,0,0,0,0,12,0,0,0,0,0,0.0454545454545455,0.00704969284911401
389891,0,0,18,1,0,0,0,0,13,0,0,0,0,0,0.0454545454545455,0.00704969284911401
426556,0,0,6,1,0,0,0,0,16,0,0,0,0,0,0.0454545454545455,0.00704969284911401
433031,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0.0454545454545455,0.00704969284911401
