"upeople_id","X180scmChanges","X1mslChanges","number_of_domain","country","X180linesadded","X180linesremoved","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
273,91,219,7,9,38560,5528,3,2,2,2,0,0,0.0714285714285714,0.0145337293173431
300,30,498,4,8,8320,879421,1,10,10,10,0,0.0444444444444444,0.0561224489795918,0.354870354349517
611,0,18,2,6,0,0,2,0,0,0,0,0,0.0833333333333333,0.000110400114634237
1933,64,31,2,10,101272,68901,8,10,10,10,0,0.0444444444444444,0.0797101449275362,1
1936,201,84,2,9,188978,225000,4,14,14,14,3,0.021978021978022,0.0808823529411765,0.899372365658206
378243,0,0,13,0,0,0,6,0,0,0,0,0,0.0833333333333333,0.000110400114634237
381286,0,9,1,0,0,0,5,0,0,0,0,0,0.0833333333333333,0.000110400114634237
382516,0,1,1,0,0,0,12,0,0,0,0,0,0.0833333333333333,0.000110400114634237
383395,0,2,1,0,0,0,9,0,0,0,0,0,0.0833333333333333,0.000110400114634237
383396,0,0,1,0,0,0,10,0,0,0,0,0,0.0833333333333333,0.000110400114634237
383397,0,0,1,0,0,0,11,0,0,0,0,0,0.0833333333333333,0.000110400114634237
444666,0,0,1,0,0,0,7,0,0,0,0,0,0.0833333333333333,0.000110400114634237
