"upeople_id","X166scmChanges","X192scmChanges","X1mslChanges","number_of_domain","country","X166linesadded","X166linesremoved","X192linesadded","X192linesremoved","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
200,0,3,69,4,9,0,0,54,70,22,0,0,0,0,0,0.0434782608695652,1.92990894307609e-05
273,5324,5636,1453,7,9,69258,66301,1169821,797742,3,4,4,4,0,0.333333333333333,0.044806517311609,0.999816006897722
300,0,0,129,4,8,0,0,0,0,1,0,0,0,0,0,0.0434782608695652,1.92990894307609e-05
371,1,0,72,3,10,2,3,0,0,4,2,2,2,0,0,0.0442655935613682,0
462,330,41,312,1,9,13325,10059,112200,867,11,18,18,18,11,0.065359477124183,0.0465116279069767,0.00114918394035423
465,65,6,17,4,6,11325,11119,10,8,20,6,6,6,6,0.266666666666667,0.0440881763527054,1.40704520849273e-05
1073,194,5,0,1,8,2379,2334,65,12,16,4,4,4,0,0.333333333333333,0.0209324452901998,1.13340145384456e-05
1082,0,0,74,3,10,0,0,0,0,2,0,0,0,0,0,0.0434782608695652,1.92990894307609e-05
1626,706,41,108,3,7,1285,1269,191,170,15,16,16,16,12,0.0333333333333333,0.0467091295116773,1
1632,35,0,0,1,7,1072,1043,0,0,18,10,10,10,14,0.133333333333333,0.0467091295116773,0.000194831252377033
1822,8,0,281,1,7,139,139,0,0,13,4,4,4,0,0.333333333333333,0.0455486542443064,0
2034,0,0,0,1,9,0,0,0,0,19,0,0,0,0,0,0.0434782608695652,1.92990894307609e-05
309802,0,0,0,3,0,0,0,0,0,21,0,0,0,0,0,0.0434782608695652,1.92990894307609e-05
380752,0,0,166,1,0,0,0,0,0,5,0,0,0,0,0,0.0434782608695652,1.92990894307609e-05
380768,0,0,13,1,0,0,0,0,0,6,0,0,0,0,0,0.0434782608695652,1.92990894307609e-05
380770,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0.0434782608695652,1.92990894307609e-05
380789,0,0,49,3,0,0,0,0,0,8,0,0,0,0,0,0.0434782608695652,1.92990894307609e-05
380797,0,0,12,2,0,0,0,0,0,9,0,0,0,0,0,0.0434782608695652,1.92990894307609e-05
380805,0,0,20,2,0,0,0,0,0,10,0,0,0,0,0,0.0434782608695652,1.92990894307609e-05
381265,0,0,0,5,0,0,0,0,0,17,0,0,0,0,0,0.0434782608695652,1.92990894307609e-05
433088,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0.0434782608695652,1.92990894307609e-05
433504,0,0,0,1,0,0,0,0,0,23,0,0,0,0,0,0.0434782608695652,1.92990894307609e-05
446983,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0.0434782608695652,1.92990894307609e-05
