"upeople_id","X67scmChanges","X151scmChanges","X417scmChanges","X38scrChanges","X179scrChanges","X1mslChanges","number_of_domain","country","X67linesadded","X67linesremoved","X151linesadded","X151linesremoved","X417linesadded","X417linesremoved","X38ReviewGotMerged","X179ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
1456,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
1481,0,0,0,0,0,2,2,7,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
1644,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
1702,0,285,0,0,0,15,3,9,0,0,27519,19666,0,0,0,0,37,6,6,6,0,0.4,0.00107864855774249,0.323584394404693
1705,0,96,0,0,0,40,3,7,0,0,17609,8904,0,0,0,0,2,62,62,62,172.707026307026,0.116340560549974,0.00845608292416803,0.108765386247448
1715,0,2,0,0,3,0,1,9,0,0,72,82,0,0,0,3,65,6,6,6,0,0.133333333333333,0.00841628959276018,0.00123456902879269
2134,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
2151,0,0,0,0,0,1,3,8,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
2235,0,1,0,0,2,0,4,9,0,0,2,1,0,0,0,1,6,2,2,2,0,0,0.00842391304347826,1.3537537882723e-05
2342,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
2735,0,0,0,0,0,1,4,10,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
2806,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
106262,0,1,0,0,3,0,3,0,0,0,84,19,0,0,0,3,90,30,30,30,0,0.349425287356322,0.00842086200651938,0.00681420895191594
141038,0,2,0,0,0,0,3,0,0,0,12,5,0,0,0,0,91,8,8,8,2,0.214285714285714,0.00842543939119406,0.00013695155314935
340389,0,1,0,0,0,0,3,0,0,0,30,22,0,0,0,0,86,12,12,12,52.8571428571428,0.303030303030303,0.00844073334543474,0.00022463848104033
378230,0,1,0,0,0,0,2,0,0,0,64,8,0,0,0,0,92,28,28,28,0,0.349206349206349,0.00840791971792785,0.00660648490672277
378243,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
378297,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
378330,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
379589,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
379620,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
379634,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
379706,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
379812,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
379930,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
381266,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
381446,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
381907,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
381933,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
382655,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
383611,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
383629,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
398620,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
398653,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
398667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
398693,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
398712,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
398755,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
432588,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
432589,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
432608,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
432620,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
432680,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
432694,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
433031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
433211,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
433468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
433472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
433641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
434144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
434791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
445358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
445371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
445372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
445540,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,94,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
445768,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
447044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0.0106382978723404,5.46816979461643e-05
