"upeople_id","no_of_bug_owned","avg_resolution","X197scmChanges","X420scmChanges","X432scmChanges","X439scmChanges","X318scrChanges","X364scrChanges","X458scrChanges","X459scrChanges","X1mslChanges","number_of_domain","country","X197linesadded","X197linesremoved","X420linesadded","X420linesremoved","X432linesadded","X432linesremoved","X439linesadded","X439linesremoved","X318ReviewGotMerged","X364ReviewGotMerged","X458ReviewGotMerged","X459ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
3201,1,0,0,1,0,0,0,0,0,0,0,2,7,0,0,34,16,0,0,0,0,0,0,0,0,73,16,16,16,6.00749967266995,0.35,0.0239095315024233,0.00059666751658465
3202,4,0.75,0,26,0,0,59,0,0,0,0,4,6,0,0,2644,317,0,0,0,0,56,0,0,0,31,34,34,34,54.0736646738195,0.35650623885918,0.0239714933592485,0.00146223323542408
3204,1,0,0,5,0,0,4,0,0,0,52,1,8,0,0,212,5,0,0,0,0,4,0,0,0,7,14,14,14,0,0.43956043956044,0.0235743867473718,0.0002208056265226
3205,0,0,0,5,0,0,12,0,0,0,0,3,10,0,0,588,227,0,0,0,0,12,0,0,0,23,32,32,32,8.77961168518444,0.42741935483871,0.0239018087855297,0.00382446421599375
3209,1,0,0,8,0,0,9,0,0,0,1,4,8,0,0,689,214,0,0,0,0,9,0,0,0,62,28,28,28,37.5632244604381,0.412698412698413,0.0239482200647249,0.000835008370042243
3212,0,0,0,1,0,0,0,0,0,0,0,1,6,0,0,12,4,0,0,0,0,0,0,0,0,9,8,8,8,7.36217158314682,0.428571428571429,0.0238940910558605,8.09638346591676e-05
3213,1,219,0,6,0,0,12,0,0,0,0,1,10,0,0,4407,479,0,0,0,0,1,0,0,0,52,24,24,24,4.01900660399112,0.420289855072464,0.0238325281803543,0.00119949307958287
3214,1,33,0,1,0,0,5,0,0,0,0,4,9,0,0,1934,394,0,0,0,0,3,0,0,0,43,22,22,22,5.74189144189144,0.432900432900433,0.0238095238095238,0.00293929937318126
3360,1,48,0,3,0,0,0,0,0,0,0,2,10,0,0,15,34,0,0,0,0,0,0,0,0,64,14,14,14,74.7197598411221,0.32967032967033,0.0239792611795204,0.000154176301397511
64715,2,0.5,0,21,0,0,38,0,0,0,0,3,0,0,0,1908,111,0,0,0,0,38,0,0,0,61,32,32,32,28.5038450111979,0.407258064516129,0.0239404723390489,0.00139809035685126
378243,28,63.4286,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0.0133333333333333,4.1639943057496e-07
381076,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,75,0,0,0,0,0,0.0133333333333333,4.1639943057496e-07
385409,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0.0133333333333333,4.1639943057496e-07
385410,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,11,0,0,0,0,0,0.0133333333333333,4.1639943057496e-07
385418,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,24,0,0,0,0,0,0.0133333333333333,4.1639943057496e-07
385421,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0.0133333333333333,4.1639943057496e-07
385422,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0.0133333333333333,4.1639943057496e-07
385425,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0.0133333333333333,4.1639943057496e-07
385431,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0.0133333333333333,4.1639943057496e-07
385479,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0.0133333333333333,4.1639943057496e-07
