"upeople_id","no_of_bug_owned","avg_resolution","X120scmChanges","X52scrChanges","X1mslChanges","number_of_domain","country","X120linesadded","X120linesremoved","X52ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
199,2,0,2,4,0,3,6,16,14,4,19,10,10,10,0,0.266666666666667,0.0605427974947808,0.00128204264989672
415,15,12.2,38,170,0,3,6,782,340,144,6,46,46,46,65.9666666666667,0.0483091787439614,0.0623655913978495,0.0241568058771796
527,187,24.8182,2834,1027,3,4,10,251007,204033,880,1,84,84,84,27,0.0189328743545611,0.0593047034764826,1
531,1,0,27,50,1,6,9,15277,3723,42,26,22,22,22,0,0.12987012987013,0.0606694560669456,0.0143078496327103
535,1,0,0,0,0,5,9,0,0,0,11,0,0,0,0,0,0.0333333333333333,0.000326929894794032
543,1,20,78,758,0,4,7,4989,6367,647,27,32,32,32,14,0.0967741935483871,0.0607966457023061,0.142129088833434
683,0,0,0,2,0,3,8,0,0,0,20,0,0,0,0,0,0.0333333333333333,0.000326929894794032
818,4,0,0,0,0,3,6,0,0,0,8,0,0,0,0,0,0.0333333333333333,0.000326929894794032
1528,7,203.6667,484,930,2,2,6,41557,18150,743,25,96,96,96,15.5142857142857,0.0118421052631579,0.0613107822410148,0.5229950953291
1530,1,0,4,26,0,3,9,177,27,26,30,24,24,24,3.3,0.101449275362319,0.0613107822410148,0.00402527846388205
1533,4,16,7,71,0,1,6,781,113,56,12,22,22,22,13.1809523809524,0.181818181818182,0.0611814345991561,0.0117906731807251
1549,14,7.8571,4,0,0,4,7,139,6,0,5,12,12,12,0.9,0.272727272727273,0.0594262295081967,0.00129205253762147
1552,2,35,1,0,0,1,6,23,8,0,15,10,10,10,4.71428571428572,0.266666666666667,0.0602910602910603,0.000382087390305859
1553,1,0,1,0,0,1,10,4,0,0,16,4,4,4,0,0,0.0576540755467197,0.000238407995782255
1554,1,19,1,0,0,2,8,241,0,0,18,12,12,12,0,0.303030303030303,0.0596707818930041,0.000962477844097331
1555,0,0,2,29,0,3,10,423,137,21,28,4,4,4,0,0.333333333333333,0.0413694721825963,0.000689658452514394
1558,1,0,1,5,0,1,9,4,1,5,21,6,6,6,0,0.133333333333333,0.0560928433268859,0.000473368041592334
1561,2,0,3,2,0,2,10,115,6,2,13,14,14,14,0,0.0659340659340659,0.0595482546201232,0.00302279400038882
2240,6,14.5,0,0,0,2,6,0,0,0,7,0,0,0,0,0,0.0333333333333333,0.000326929894794032
2635,0,0,0,0,0,1,9,0,0,0,22,0,0,0,0,0,0.0333333333333333,0.000326929894794032
3217,1,7,0,0,0,1,9,0,0,0,17,0,0,0,0,0,0.0333333333333333,0.000326929894794032
3247,1,0,0,0,0,3,6,0,0,0,24,0,0,0,0,0,0.0333333333333333,0.000326929894794032
3295,2,0,0,0,0,4,10,0,0,0,9,0,0,0,0,0,0.0333333333333333,0.000326929894794032
363833,1,0,1,1,0,2,0,1,1,1,29,6,6,6,1.5,0.4,0.0610526315789474,4.70083730689608e-05
378235,201,29.209,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0.0333333333333333,0.000326929894794032
378242,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0.0333333333333333,0.000326929894794032
378243,6,0,0,0,0,13,0,0,0,0,4,0,0,0,0,0,0.0333333333333333,0.000326929894794032
378255,1,0,0,3,0,2,0,0,0,1,10,0,0,0,0,0,0.0333333333333333,0.000326929894794032
446657,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0.0333333333333333,0.000326929894794032
446678,1,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0.0333333333333333,0.000326929894794032
