"upeople_id","no_of_bug_owned","avg_resolution","X250scmChanges","X275scmChanges","X158scrChanges","X227scrChanges","X1mslChanges","number_of_domain","country","X250linesadded","X250linesremoved","X275linesadded","X275linesremoved","X158ReviewGotMerged","X227ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
199,30,43.3,255,0,0,3,1,3,6,53758,57972,0,0,0,3,5,0,0,0,0,0,0.0222222222222222,2.01214335275864e-06
587,89,0.0787,175,1562,1711,32,235,5,8,5760,26531,210664,253865,1620,32,7,78,78,78,0,0.118548118548119,0.0511627906976744,0.169467808911442
679,0,0,0,39,0,0,3,4,6,0,0,131468,23729,0,0,8,6,6,6,0,0.4,0.03240058910162,0.0384271507308804
688,0,0,0,640,112,0,139,6,10,0,0,413894,336674,92,0,39,84,84,84,39.2225885225885,0.0929432013769363,0.0520094562647754,0.990421087572384
910,0,0,17,4,8,32,1,4,8,13755,13759,7,3,8,30,42,10,10,10,6.30808080808081,0.444444444444444,0.0509259259259259,6.91674052192563e-05
1520,8,0,83,183,516,0,39,3,7,1348,20203,16980,27099,479,0,43,40,40,40,30.2869565217391,0.235897435897436,0.0512820512820513,0.0284841212304665
2240,14,6.4286,0,626,0,0,25,2,6,0,0,125224,134338,0,0,1,44,44,44,49.487029395725,0.158562367864693,0.0524433849821216,0.0354263196468702
2245,57,9.8421,27,580,988,5,70,3,8,16112,13321,198904,105506,940,5,12,60,60,60,69.45,0.189830508474576,0.0512820512820513,0.0595587320406663
2281,1,50,2,7,0,0,0,3,6,4294,99,25185,233,0,0,11,12,12,12,27,0.393939393939394,0.0487804878048781,0.00120247246868079
2282,98,13.0306,231,1506,0,0,624,3,7,36605,18478,517325,155469,0,0,2,56,56,56,27,0.218181818181818,0.0504587155963303,0.122669256936544
2283,0,0,1,69,0,0,29,1,8,32,0,13747,11186,0,0,3,36,36,36,40.9227994227994,0.352380952380952,0.0521327014218009,0.00934575714422926
2287,1,0,1,0,0,0,14,2,9,1,1,0,0,0,0,25,0,0,0,0,0,0.0222222222222222,2.01214335275864e-06
2424,7,0,0,64,0,0,2,2,7,0,0,6412,3672,0,0,19,8,8,8,0,0.428571428571429,0.0413533834586466,0.0306959504720606
2425,24,68.5417,0,157,234,0,110,2,10,0,0,121495,99803,208,0,27,66,66,66,51.5316125903082,0.114685314685315,0.052757793764988,0.045122576004516
2426,26,27.3077,0,14,0,0,6,1,8,0,0,664,199,0,0,21,8,8,8,0,0.428571428571429,0.0355987055016181,0.000524415149655648
2428,74,0.1351,0,745,0,0,28,4,7,0,0,329813,254460,0,0,4,36,36,36,6.53333333333333,0.336507936507937,0.0515826494724502,0.02929150282713
2430,76,11.2105,0,1072,626,0,246,1,7,0,0,315450,241364,609,0,6,68,68,68,16.8969696969697,0.152765583845479,0.0515222482435597,0.120754719418713
2432,0,0,0,95,0,0,8,1,9,0,0,26508,26721,0,0,24,16,16,16,7.86111111111111,0.383333333333333,0.0507497116493656,0.0331157977184203
2434,0,0,0,1,0,0,0,1,8,0,0,11,28,0,0,16,2,2,2,0,0,0.0227272727272727,3.3319741755812e-09
2435,0,0,0,9,0,0,0,1,8,0,0,5546,1441,0,0,9,2,2,2,0,0,0.0227272727272727,3.33186431101936e-09
2441,24,4.3333,0,455,2188,0,69,2,10,0,0,192576,75916,1953,0,14,74,74,74,16.3859213250518,0.0659015179563125,0.0524433849821216,0.567321790587544
2442,21,4.0476,0,24,9,0,21,1,10,0,0,21208,8253,7,0,13,50,50,50,104.638020916282,0.133877551020408,0.0528211284513806,0.00298505586470668
2443,13,3.3846,0,161,51,0,41,2,6,0,0,14042,12911,49,0,26,68,68,68,19.220202020202,0.131694468832309,0.0517038777908343,0.0501628413934416
2444,1,17,0,2,0,0,0,1,8,0,0,319,4,0,0,34,10,10,10,0,0.444444444444444,0.0482985729967069,0.000119756205385449
2445,0,0,0,26,55,0,2,3,8,0,0,4185,1872,42,0,41,34,34,34,8.98412698412698,0.342245989304813,0.0512820512820513,0.00347649501547508
2451,1,145,0,640,3666,0,116,5,6,0,0,204561,286181,3232,0,38,78,78,78,14.7333333333333,0.0592740592740593,0.0521327014218009,1
2452,4,7.25,0,298,2841,0,40,2,7,0,0,118661,42270,2284,0,28,32,32,32,0,0.30241935483871,0.0511627906976744,0.354198087820655
2456,1,0,0,32,168,0,16,2,7,0,0,3248,1212,140,0,23,54,54,54,53.15,0.131376659678546,0.0523809523809524,0.00283268607883794
2470,5,0,0,157,1694,0,1,2,8,0,0,39326,10839,1456,0,35,52,52,52,79.4176673567978,0.125188536953243,0.0528211284513806,0.180262081362172
2475,3,0,0,146,492,0,3,4,10,0,0,154166,141445,406,0,29,62,62,62,27,0.167107350608144,0.0506912442396313,0.0641399154369893
