"upeople_id","no_of_bug_owned","avg_resolution","X134scmChanges","X288scmChanges","X351scmChanges","X376scmChanges","X268scrChanges","X1mslChanges","number_of_domain","country","X134linesadded","X134linesremoved","X288linesadded","X288linesremoved","X351linesadded","X351linesremoved","X376linesadded","X376linesremoved","X268ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
24,0,0,0,0,2,0,5,176,6,6,0,0,0,0,1,10,0,0,5,20,6,6,6,14,0.133333333333333,0.0111571565189672,0.024734269354216
95,47,5.4222,82,11,1351,55,199,924,5,7,5526,33029,256606,526,81006,130670,39236,209911,174,8,24,24,24,32,0.0217391304347826,0.0113599480688088,1
198,2,1.5,0,0,0,0,0,34,5,7,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0.0277777777777778,0.00911410372037604
273,13,2.6154,0,0,14,0,0,163,7,9,0,0,0,0,22,22,0,0,0,11,2,2,2,0,0,0.00731452455590387,0.113868779666688
371,1,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0.0277777777777778,0.00911410372037604
379,1,0,0,0,0,0,0,106,2,7,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0.0277777777777778,0.00911410372037604
415,1,6,0,0,0,0,3,21,3,6,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0.0277777777777778,0.00911410372037604
494,8,0.875,0,0,8,0,0,37,1,6,0,0,0,0,688,66,0,0,0,6,4,4,4,8,0.333333333333333,0.0076703922857769,0.135298848869585
517,0,0,0,0,0,0,6,15,4,10,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0.0277777777777778,0.00911410372037604
526,2,0,0,0,3,0,21,40,6,9,0,0,0,0,1804,1797,0,0,21,5,4,4,4,0,0.333333333333333,0.00717948717948718,0.178455235707639
527,10,68.9,0,0,11,0,1,131,4,10,0,0,0,0,51,42,0,0,1,1,6,6,6,8,0.266666666666667,0.0111358574610245,0.258359440041612
554,1,0,0,0,25,0,9,100,4,10,0,0,0,0,61,97,0,0,7,15,2,2,2,0,0,0.00270040891906489,0.662996210441786
1082,0,0,0,0,0,0,0,13,3,10,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0.0277777777777778,0.00911410372037604
1159,1,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0.0277777777777778,0.00911410372037604
1539,64,36.3443,201,0,0,0,0,56,2,7,14178,7316,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0277777777777778,0.00911410372037604
1866,0,0,0,0,6,0,2,24,4,8,0,0,0,0,14,11,0,0,2,28,4,4,4,0,0.333333333333333,0.0111075848936845,0.0408936677932139
1867,0,0,0,0,0,0,0,3,1,7,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0.0277777777777778,0.00911410372037604
2038,0,0,0,0,13,0,4,2,3,10,0,0,0,0,29,20,0,0,4,36,8,8,8,0,0,0.00934579439252336,0.160299590137761
2585,1,0,0,0,42,0,4,122,4,7,0,0,0,0,177,113,0,0,4,21,8,8,8,0,0,0.010388839418225,0.645406028197074
3080,0,0,0,0,0,0,0,11,7,6,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0.0277777777777778,0.00911410372037604
3204,1,0,0,0,0,0,0,13,1,8,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0.0277777777777778,0.00911410372037604
378243,66,18.3636,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0.0277777777777778,0.00911410372037604
378539,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.0277777777777778,0.00911410372037604
378553,4,165.75,0,0,0,0,0,33,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0.0277777777777778,0.00911410372037604
379016,3,127.3333,0,0,0,0,0,50,2,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0.0277777777777778,0.00911410372037604
379031,1,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0.0277777777777778,0.00911410372037604
379033,0,0,0,0,0,0,0,34,2,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0.0277777777777778,0.00911410372037604
382296,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0.0277777777777778,0.00911410372037604
385203,2,0,0,0,0,0,2,21,1,0,0,0,0,0,0,0,0,0,2,27,0,0,0,0,0,0.0277777777777778,0.00911410372037604
386603,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0.0277777777777778,0.00911410372037604
386677,0,0,0,0,0,0,0,40,2,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0.0277777777777778,0.00911410372037604
433472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0.0277777777777778,0.00911410372037604
434143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0.0277777777777778,0.00911410372037604
446729,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0.0277777777777778,0.00911410372037604
446983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0.0277777777777778,0.00911410372037604
447615,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0.0277777777777778,0.00911410372037604
