"upeople_id","no_of_bug_owned","avg_resolution","X245scmChanges","X382scrChanges","X1mslChanges","number_of_domain","country","X245linesadded","X245linesremoved","X382ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
152,3,0,2837,13878,64,4,8,1374633,1225285,13244,12,48,48,48,0,0.0283687943262411,0.134831460674157,0.482009379059084
161,10,3.4,839,234,26,1,8,493597,373803,212,8,16,16,16,0,0.25,0.137931034482759,0.321713634835622
165,226,4.5531,2096,394,60,4,10,2094652,1780583,338,5,20,20,20,5,0.168421052631579,0.142857142857143,0.965996174734994
166,14,17.8571,3432,1763,89,1,10,4630738,3269455,1638,4,18,18,18,0,0.196078431372549,0.114285714285714,1
2194,44,3.1136,436,165,0,1,10,98947,24865,155,9,16,16,16,0,0.25,0.129032258064516,0.173641639049795
2196,1,34,75,26,5,2,8,3141,1803,21,2,24,24,24,12,0.108695652173913,0.148148148148148,0.0117418965331256
2202,5,16.6,20,0,15,1,6,387,277,0,6,4,4,4,1,0.333333333333333,0.136363636363636,0
2208,1,0,3,329,0,4,8,386,27,279,11,14,14,14,13,0.32967032967033,0.148148148148148,0.000451678028456872
378243,130,29.8492,0,0,0,13,0,0,0,0,7,0,0,0,0,0,0.0769230769230769,0.00808963913519798
378323,8,2.8571,0,0,102,2,0,0,0,0,1,0,0,0,0,0,0.0769230769230769,0.00808963913519798
381933,1,0,0,0,8,2,0,0,0,0,3,0,0,0,0,0,0.0769230769230769,0.00808963913519798
382556,1,89,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0.0769230769230769,0.00808963913519798
444140,2,9.5,0,94,0,1,0,0,0,90,13,0,0,0,0,0,0.0769230769230769,0.00808963913519798
