"upeople_id","no_of_bug_owned","avg_resolution","X403scmChanges","X291scrChanges","X1mslChanges","number_of_domain","country","X403linesadded","X403linesremoved","X291ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
100,2,0,0,0,0,2,6,0,0,0,30,0,0,0,0,0,0.0294117647058824,1.09531216487416e-05
102,1,0,0,0,0,2,10,0,0,0,29,0,0,0,0,0,0.0294117647058824,1.09531216487416e-05
517,2,1168.5,0,0,1,4,10,0,0,0,3,0,0,0,0,0,0.0294117647058824,1.09531216487416e-05
817,1,0,54,9,815,7,7,3403,3654,5,34,14,14,14,0,0.021978021978022,0.032967032967033,0.0133540538923
844,343,4.2176,363,57,918,3,9,70557,79382,18,1,28,28,28,3,0.0105820105820106,0.032967032967033,0.138629636279523
1551,1,130,0,0,0,1,8,0,0,0,2,0,0,0,0,0,0.0294117647058824,1.09531216487416e-05
2152,1,0,0,0,0,4,7,0,0,0,8,0,0,0,0,0,0.0294117647058824,1.09531216487416e-05
3080,176,31.6057,8698,17,2713,7,6,723321,369007,10,14,44,44,44,5,0.00422832980972516,0.0330661322645291,1
3145,1,21,28,0,107,1,6,3006,1262,0,13,4,4,4,0,0.333333333333333,0.0326732673267327,0.000888246437039329
3148,4,0.25,2,0,226,1,8,90,52,0,7,2,2,2,0,0,0.0328685258964143,4.4475088914265e-05
3217,1,0,0,0,0,1,9,0,0,0,5,0,0,0,0,0,0.0294117647058824,1.09531216487416e-05
378297,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0.0294117647058824,1.09531216487416e-05
378330,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0.0294117647058824,1.09531216487416e-05
379709,1,0,0,0,2,2,0,0,0,0,9,0,0,0,0,0,0.0294117647058824,1.09531216487416e-05
379930,2,282,0,0,26,3,0,0,0,0,10,0,0,0,0,0,0.0294117647058824,1.09531216487416e-05
380502,2,391.5,0,0,62,3,0,0,0,0,11,0,0,0,0,0,0.0294117647058824,1.09531216487416e-05
381295,1,0,0,0,9,2,0,0,0,0,12,0,0,0,0,0,0.0294117647058824,1.09531216487416e-05
383596,1,0,0,0,2,1,0,0,0,0,20,0,0,0,0,0,0.0294117647058824,1.09531216487416e-05
383605,14,0.5,0,0,72,1,0,0,0,0,21,0,0,0,0,0,0.0294117647058824,1.09531216487416e-05
383607,1,0,0,0,0,1,0,0,0,0,22,0,0,0,0,0,0.0294117647058824,1.09531216487416e-05
383608,3,0,0,0,14,3,0,0,0,0,23,0,0,0,0,0,0.0294117647058824,1.09531216487416e-05
383609,2,0,0,0,0,1,0,0,0,0,24,0,0,0,0,0,0.0294117647058824,1.09531216487416e-05
383610,1,0,0,0,0,1,0,0,0,0,25,0,0,0,0,0,0.0294117647058824,1.09531216487416e-05
383611,0,0,0,0,0,1,0,0,0,0,26,0,0,0,0,0,0.0294117647058824,1.09531216487416e-05
383615,4,0,0,0,126,3,0,0,0,0,27,0,0,0,0,0,0.0294117647058824,1.09531216487416e-05
383626,2,840,0,0,57,3,0,0,0,0,28,0,0,0,0,0,0.0294117647058824,1.09531216487416e-05
395964,1,35,0,0,43,2,0,0,0,0,31,0,0,0,0,0,0.0294117647058824,1.09531216487416e-05
406009,1,0,0,0,35,1,0,0,0,0,32,0,0,0,0,0,0.0294117647058824,1.09531216487416e-05
406805,2,0,0,0,56,1,0,0,0,0,33,0,0,0,0,0,0.0294117647058824,1.09531216487416e-05
432680,780,39.7763,0,0,0,1,0,0,0,0,15,0,0,0,0,0,0.0294117647058824,1.09531216487416e-05
443229,51,98.5686,0,0,0,1,0,0,0,0,16,0,0,0,0,0,0.0294117647058824,1.09531216487416e-05
447262,3,1781,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0.0294117647058824,1.09531216487416e-05
447263,32,76.375,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0.0294117647058824,1.09531216487416e-05
447264,16,4.9375,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0.0294117647058824,1.09531216487416e-05
