"upeople_id","no_of_bug_owned","avg_resolution","X123scmChanges","X146scmChanges","X212scmChanges","X256scmChanges","X354scmChanges","X372scmChanges","X1mslChanges","number_of_domain","country","X123linesadded","X123linesremoved","X146linesadded","X146linesremoved","X212linesadded","X212linesremoved","X256linesadded","X256linesremoved","X354linesadded","X354linesremoved","X372linesadded","X372linesremoved","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
386170,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0.0149253731343284,0.00483535550222406
389199,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0.0149253731343284,0.00483535550222406
399827,24,59.4167,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0.0149253731343284,0.00483535550222406
406922,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0.0149253731343284,0.00483535550222406
410064,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0.0149253731343284,0.00483535550222406
426170,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0.0149253731343284,0.00483535550222406
432947,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0.0149253731343284,0.00483535550222406
433088,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0.0149253731343284,0.00483535550222406
433826,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0.0149253731343284,0.00483535550222406
434791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0.0149253731343284,0.00483535550222406
443654,15,107.1333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0.0149253731343284,0.00483535550222406
444167,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0.0149253731343284,0.00483535550222406
444666,25,19.72,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0.0149253731343284,0.00483535550222406
444879,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0.0149253731343284,0.00483535550222406
445664,12,408,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0.0149253731343284,0.00483535550222406
446954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0.0149253731343284,0.00483535550222406
447356,79,25.2278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0.0149253731343284,0.00483535550222406
