"upeople_id","no_of_bug_owned","avg_resolution","X103scmChanges","X208scmChanges","X377scmChanges","X383scmChanges","X398scmChanges","X40scrChanges","X63scrChanges","X349scrChanges","X408scrChanges","X1mslChanges","X2mslChanges","number_of_domain","country","X103linesadded","X103linesremoved","X208linesadded","X208linesremoved","X377linesadded","X377linesremoved","X383linesadded","X383linesremoved","X398linesadded","X398linesremoved","X40ReviewGotMerged","X63ReviewGotMerged","X349ReviewGotMerged","X408ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
1404,49,42,10,0,6,0,0,0,0,0,0,13,0,4,7,5370,1844,0,0,107,52,0,0,0,0,0,0,0,0,52,20,20,20,12.7571428571429,0.157894736842105,0.0173611111111111,0.00628937130452571
1407,14,35.2857,130,0,71,0,0,0,0,0,0,40,3,1,7,2691,794,0,0,89469,930,0,0,0,0,0,0,0,0,47,14,14,14,0,0.32967032967033,0.0172970479704797,0.0901667457881993
1449,1,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
1460,2,37.5,0,0,0,0,0,0,0,0,0,4,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
1569,32,5.3438,0,0,0,11,112,0,0,0,16,0,0,1,6,0,0,0,0,0,0,1952,1569,21425,30470,0,0,0,15,34,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
2076,0,0,0,1,0,0,6,0,0,1,17,0,0,1,6,0,0,0,0,0,0,0,0,452,28,0,0,1,16,71,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
2126,1,0,0,0,0,0,0,0,0,0,0,0,2,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
2245,2,0,0,0,2,0,0,8,0,0,0,0,0,3,8,0,0,0,0,140,42,0,0,0,0,8,0,0,0,51,6,6,6,19.104457191554,0.4,0.0174094707520891,1.74847160149546e-05
2282,3,46,0,0,0,0,0,0,0,0,0,18,43,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
2542,0,0,0,0,0,104,69,0,2,0,0,0,9,4,9,0,0,0,0,0,0,9248,6313,4786,1374,0,2,0,0,75,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
2972,11,3.9091,0,0,30,0,0,0,0,0,0,1,28,2,8,0,0,0,0,12471,7559,0,0,0,0,0,0,0,0,59,16,16,16,19.3760019550342,0.333333333333333,0.0173691523853636,0.0851623689502041
2977,1,0,0,0,1,0,0,0,0,0,0,66,8,2,6,0,0,0,0,393,46,0,0,0,0,0,0,0,0,54,4,4,4,5.6969696969697,0.333333333333333,0.0174013921113689,1.62120985758824e-05
2978,1,0,0,0,4,0,0,0,0,0,0,0,0,2,8,0,0,0,0,149,71,0,0,0,0,0,0,0,0,53,14,14,14,0,0.21978021978022,0.0173852573018081,0.00029951074543477
2986,8,33.875,0,0,12,0,1,4,0,0,1,0,0,1,6,0,0,0,0,2552,530,0,0,1,1,2,0,0,1,70,14,14,14,1.88311688311688,0.395604395604396,0.0173933209647495,0.000844308298280441
3071,75,35.5467,0,0,0,15,0,0,0,0,0,0,29,5,6,0,0,0,0,0,0,1570,252,0,0,0,0,0,0,46,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
3080,2,0,0,0,0,1,0,0,0,0,0,190,158,7,6,0,0,0,0,0,0,562,273,0,0,0,0,0,0,39,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
3082,0,0,0,0,0,2,0,0,3,0,0,0,0,2,9,0,0,0,0,0,0,6,5,0,0,0,3,0,0,76,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
