"upeople_id","no_of_bug_owned","avg_resolution","X91scmChanges","X1mslChanges","number_of_domain","country","X91linesadded","X91linesremoved","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
411,1,0,0,0,4,6,0,0,1,0,0,0,0,0,0.2,0.00113953653791055
773,24,0,55,7,5,7,220132,8751,3,8,8,8,0,0,0.0833333333333333,1
1127,4,0,51,0,5,9,10949,6765,2,4,4,4,0,0,0.0833333333333333,0.997508831855186
378243,124,1.371,0,0,13,0,0,0,4,0,0,0,0,0,0.2,0.00113953653791055
385802,4,0,0,0,1,0,0,0,5,0,0,0,0,0,0.2,0.00113953653791055
