"upeople_id","no_of_bug_owned","avg_resolution","X101scmChanges","X1mslChanges","number_of_domain","country","X101linesadded","X101linesremoved","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
1386,323,4.2012,1471,89,3,10,772806,532622,1,4,4,4,0,0,0.0833333333333333,1
378243,0,0,0,0,13,0,0,0,4,0,0,0,0,0,0.0833333333333333,0.0378552604544306
378843,2,0,0,0,3,0,0,0,2,0,0,0,0,0,0.0833333333333333,0.0378552604544306
378870,0,0,0,1,3,0,0,0,3,0,0,0,0,0,0.0833333333333333,0.0378552604544306
390242,2,0,0,0,1,0,0,0,5,0,0,0,0,0,0.0833333333333333,0.0378552604544306
390782,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0.0833333333333333,0.0378552604544306
390783,1,0,0,0,1,0,0,0,7,0,0,0,0,0,0.0833333333333333,0.0378552604544306
390809,0,0,0,2,3,0,0,0,8,0,0,0,0,0,0.0833333333333333,0.0378552604544306
390815,2,82.5,0,0,2,0,0,0,9,0,0,0,0,0,0.0833333333333333,0.0378552604544306
413547,1,26,0,0,2,0,0,0,10,0,0,0,0,0,0.0833333333333333,0.0378552604544306
432162,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0.0833333333333333,0.0378552604544306
432389,1,39,0,0,2,0,0,0,12,0,0,0,0,0,0.0833333333333333,0.0378552604544306
