"upeople_id","no_of_bug_owned","avg_resolution","X378scmChanges","X406scmChanges","X169scrChanges","X280scrChanges","X1mslChanges","number_of_domain","country","X378linesadded","X378linesremoved","X406linesadded","X406linesremoved","X169ReviewGotMerged","X280ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
200,1,0,14,4,2,0,0,4,9,669,89,115,11,2,0,8,2,2,2,0,0,0.0380116959064327,0
249,1,0,0,0,0,0,3,3,6,0,0,0,0,0,0,13,0,0,0,0,0,0.037037037037037,0
286,1,0,2,2,8,10,0,3,6,36,31,24,28,3,3,1,2,2,2,0,0,0.0408163265306122,0.0155587807612116
587,0,0,0,0,1,1,0,5,8,0,0,0,0,0,0,7,0,0,0,0,0,0.037037037037037,0
664,1,0,0,0,0,0,0,4,9,0,0,0,0,0,0,10,0,0,0,0,0,0.037037037037037,0
668,1,0,0,0,0,0,6,4,9,0,0,0,0,0,0,9,0,0,0,0,0,0.037037037037037,0
670,1,0,3,0,0,0,26,13,8,78,29,0,0,0,0,6,2,2,2,0,0,0.0408163265306122,0.0155587807627427
771,23,4.7391,61,0,2,0,14,4,10,6127,1548,0,0,2,0,27,18,18,18,3,0,0.0409448818897638,1
1439,2,100.5,0,0,0,0,0,4,6,0,0,0,0,0,0,15,0,0,0,0,0,0.037037037037037,0
1448,1,0,0,0,0,0,6,3,6,0,0,0,0,0,0,17,0,0,0,0,0,0.037037037037037,0
1645,1,0,0,0,0,0,0,4,9,0,0,0,0,0,0,18,0,0,0,0,0,0.037037037037037,0
1972,37,149.1622,19,83,0,0,2,3,6,345,94,2827,666,0,0,26,2,2,2,0,0,0.039453717754173,0.186707535410928
2394,1,0,0,0,0,0,0,2,8,0,0,0,0,0,0,19,0,0,0,0,0,0.037037037037037,0
2396,11,0,0,0,0,0,0,2,9,0,0,0,0,0,0,11,0,0,0,0,0,0.037037037037037,0
3237,2,2.5,5,1,17,1,0,4,9,622,6,274,1,11,1,2,2,2,2,0,0,0.0380116959064327,0
378243,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,4,0,0,0,0,0,0.037037037037037,0
379589,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,16,0,0,0,0,0,0.037037037037037,0
379635,70,25.8857,0,0,0,0,3,2,0,0,0,0,0,0,0,14,0,0,0,0,0,0.037037037037037,0
379690,143,78.035,0,0,0,0,36,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0.037037037037037,0
381084,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,25,0,0,0,0,0,0.037037037037037,0
381162,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,20,0,0,0,0,0,0.037037037037037,0
391200,3,137.3333,0,0,0,0,0,3,0,0,0,0,0,0,0,21,0,0,0,0,0,0.037037037037037,0
410752,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,24,0,0,0,0,0,0.037037037037037,0
416115,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,23,0,0,0,0,0,0.037037037037037,0
432608,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0.037037037037037,0
441310,9,6.125,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0.037037037037037,0
444603,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,0,0,0,0,0,0.037037037037037,0
