"upeople_id","197scmChanges","420scmChanges","432scmChanges","439scmChanges","318scrChanges","364scrChanges","458scrChanges","459scrChanges","1mslChanges","number_of_domain","country","197linesadded","197linesremoved","420linesadded","420linesremoved","432linesadded","432linesremoved","439linesadded","439linesremoved","318ReviewGotMerged","364ReviewGotMerged","458ReviewGotMerged","459ReviewGotMerged"
431712,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
431713,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
431826,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
432315,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
432421,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
434643,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
434740,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
443759,0,2,0,0,2,0,0,0,0,1,0,0,0,55,4,0,0,0,0,2,0,0,0
446155,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0
447467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447468,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0
447470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
448572,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0
452635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
