"upeople_id","1mslChanges","number_of_domain","country"
382692,272,2,0
383597,14,1,0
388383,15,1,0
388385,1,1,0
388386,235,1,0
388388,1180,2,0
388389,481,1,0
388391,360,2,0
388392,131,1,0
388393,219,2,0
388395,92,6,0
388398,25,2,0
388401,331,4,0
388406,194,2,0
388407,31,1,0
388408,54,2,0
388412,91,3,0
388413,0,1,0
388416,39,1,0
388418,18,1,0
388419,0,1,0
388426,16,1,0
388429,0,1,0
388440,8,1,0
447644,0,0,0
447796,0,0,0
447801,0,0,0
