"upeople_id","number_of_domain","country"
389545,1,0
389546,1,0
389547,1,0
389548,2,0
389549,1,0
389550,2,0
389551,1,0
389552,1,0
389553,1,0
389554,2,0
389555,1,0
389556,2,0
389557,1,0
389558,2,0
389575,1,0
389583,2,0
389585,2,0
423218,1,0
426481,1,0
433238,1,0
