"upeople_id","104scmChanges","272scmChanges","1mslChanges","number_of_domain","country","104linesadded","104linesremoved","272linesadded","272linesremoved"
432,714,0,166,2,9,144281,117663,0,0
1431,542,806,211,3,10,29004,38831,304238,263253
1435,8,187,28,2,6,129,8922,146472,137731
1437,1,978,8,1,10,2,2,201029,153799
1595,0,46,26,4,10,0,0,3305,2661
2852,0,0,2,3,9,0,0,0,0
378227,0,0,0,3,0,0,0,0,0
378330,0,0,0,2,0,0,0,0,0
378982,0,0,0,1,0,0,0,0,0
379665,0,0,182,1,0,0,0,0,0
379812,0,0,0,1,0,0,0,0,0
381801,0,0,13,3,0,0,0,0,0
381916,0,0,1,1,0,0,0,0,0
382457,0,0,0,1,0,0,0,0,0
382478,0,0,0,2,0,0,0,0,0
387138,0,0,0,2,0,0,0,0,0
414612,0,0,0,2,0,0,0,0,0
432763,0,0,6,3,0,0,0,0,0
432764,0,0,0,1,0,0,0,0,0
433031,0,0,0,0,0,0,0,0,0
