"","temp","degree_centralization","betweenness_centralization","closeness_centralization","eigenvector_centralization","global_clustcoeff","assortativity","diameter","avg_degree","modularity","density","avg_path_length","vertices","edges"
"1",114,0.333333333333333,0,0.138888888888889,1,0,0,8,1,-0.5,0.333333333333333,1,4,2
"2",133,1.0367641530712,0.0689275778749745,0.00570023795650065,0.762813074021606,0.512368765390124,-0.269115632024454,63,59.6325088339223,0.115760674981254,0.211462797283412,1.94841029370177,283,8438
"3",147,0.333333333333333,0,0.25,1,0,0,4,1.33333333333333,-0.5,0.666666666666667,1,3,2
"4",159,0.282051282051282,0.0151515151515152,0.0246077686269075,0.962344221602446,0,-1,113,0.615384615384615,-0.375,0.0512820512820513,1.33333333333333,13,4
"5",16,0.91812865497076,0.154502541757444,0.0654739338856395,0.73752382297846,0.444444444444444,-0.62307388384038,69,5.47368421052632,0.0887573964497041,0.304093567251462,1.60606060606061,19,52
"6",163,0.623152709359606,0.104559892740165,0.0337507113818551,0.794348554685545,0.468208092485549,-0.346417514374171,314,4.55172413793103,0.139118457300275,0.16256157635468,1.83809523809524,29,66
"7",173,0.65359477124183,0.185121107266436,0.110838734500626,0.658100745496204,0.549019607843137,-0.267153284671533,33,6.88888888888889,0.0421436004162331,0.405228758169935,2.15238095238095,18,62
"8",196,0.8,0.3,0.202941176470588,0.816987298107781,0,-1,18,2,-0.333333333333333,0.4,1.5,6,6
"9",24,0.578947368421053,0.0639130961026386,0.055064209944722,0.623156652969007,0.769565217391304,-0.356164383561646,56,7.57894736842105,-0.00347222222222221,0.421052631578947,1.36363636363636,19,72
"10",50,0.752136752136752,0.0827218934911243,0.033806023350536,0.797780127346967,0.435754189944134,-0.672939549888624,18,4.44444444444444,-0.116111111111111,0.170940170940171,1.61538461538462,27,60
"11",74,0.380952380952381,0,0.0838095238095239,0.8,1,0,37,1.71428571428571,-0.333333333333333,0.285714285714286,1,7,6
"12",85,0.571428571428571,0.0226757369614512,0.126744663382594,0.627322003750035,0.666666666666667,-0.333333333333333,34,4,-0.203125,0.571428571428571,1.2,8,16
"13",96,0.958333333333333,0.0819370343763636,0.0129674103485864,0.712245328483766,0.549632139624481,-0.214764043311885,49,37.3333333333333,0.167815476650368,0.291666666666667,1.89777270131354,129,2408
