"","labels","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
"1",501,0,0,0,0,0,0.0833333333333333,0.00083309211055507
"2",502,2,2,2,0,0,0.0909090909090909,0.214105478437984
"3",500,0,0,0,0,0,0.0833333333333333,0.00083309211055507
"4",498,2,2,2,0,0,0.100917431192661,0.0426935460079457
"5",499,4,4,4,0,0.333333333333333,0.092436974789916,0.932121907810842
"6",2080,0,0,0,0,0,0.0833333333333333,0.00083309211055507
"7",2079,0,0,0,0,0,0.0833333333333333,0.00083309211055507
"8",2081,4,4,4,3,0.333333333333333,0.0973451327433628,0.379565124836005
"9",503,0,0,0,0,0,0.0833333333333333,0.00083309211055507
"10",504,8,8,8,5,0.0714285714285714,0.10377358490566,1
"11",425353,0,0,0,0,0,0.0833333333333333,0.00083309211055507
"12",589,0,0,0,0,0,0.0833333333333333,0.00083309211055507
