"","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","pagerank"
"1",0,0,0,0,0,0.0217391304347826,0.227496719741067,0.0195412064570943
"2",0,0,0,0,0,0.0217391304347826,0.227496719741067,0.0195412064570943
"3",0,0,0,0,0,0.0217391304347826,0.227496719741067,0.0195412064570943
"4",2,2,2,0,0,0.0230769230769231,0.0860683229468619,0.0196764632561849
"5",0,0,0,0,0,0.0217391304347826,0.227496719741067,0.0195412064570943
"6",0,0,0,0,0,0.0217391304347826,0.227496719741067,0.0195412064570943
"7",0,0,0,0,0,0.0217391304347826,0.227496719741067,0.0195412064570943
"8",0,0,0,0,0,0.0217391304347826,0.227496719741067,0.0195412064570943
"9",0,0,0,0,0,0.0217391304347826,0.227496719741067,0.0195412064570943
"10",0,0,0,0,0,0.0217391304347826,0.227496719741067,0.0195412064570943
"11",0,0,0,0,0,0.0217391304347826,0.227496719741067,0.0195412064570943
"12",0,0,0,0,0,0.0217391304347826,0.227496719741067,0.0195412064570943
"13",0,0,0,0,0,0.0217391304347826,0.227496719741067,0.0195412064570943
"14",0,0,0,0,0,0.0217391304347826,0.227496719741067,0.0195412064570943
"15",0,0,0,0,0,0.0217391304347826,0.227496719741067,0.0195412064570943
"16",0,0,0,0,0,0.0217391304347826,0.227496719741067,0.0195412064570943
"17",0,0,0,0,0,0.0217391304347826,0.227496719741067,0.0195412064570943
"18",12,12,12,9,0.121212121212121,0.0231958762886598,1,0.0821088333302946
"19",0,0,0,0,0,0.0217391304347826,0.227496719741067,0.0195412064570943
"20",0,0,0,0,0,0.0217391304347826,0.227496719741067,0.0195412064570943
"21",0,0,0,0,0,0.0217391304347826,0.227496719741067,0.0195412064570943
"22",0,0,0,0,0,0.0217391304347826,0.227496719741067,0.0195412064570943
"23",0,0,0,0,0,0.0217391304347826,0.227496719741067,0.0195412064570943
"24",0,0,0,0,0,0.0217391304347826,0.227496719741067,0.0195412064570943
"25",0,0,0,0,0,0.0217391304347826,0.227496719741067,0.0195412064570943
"26",0,0,0,0,0,0.0217391304347826,0.227496719741067,0.0195412064570943
"27",0,0,0,0,0,0.0217391304347826,0.227496719741067,0.0195412064570943
"28",0,0,0,0,0,0.0217391304347826,0.227496719741067,0.0195412064570943
"29",0,0,0,0,0,0.0217391304347826,0.227496719741067,0.0195412064570943
"30",0,0,0,0,0,0.0217391304347826,0.227496719741067,0.0195412064570943
"31",0,0,0,0,0,0.0217391304347826,0.227496719741067,0.0195412064570943
"32",0,0,0,0,0,0.0217391304347826,0.227496719741067,0.0195412064570943
"33",0,0,0,0,0,0.0217391304347826,0.227496719741067,0.0195412064570943
"34",0,0,0,0,0,0.0217391304347826,0.227496719741067,0.0195412064570943
"35",0,0,0,0,0,0.0217391304347826,0.227496719741067,0.0195412064570943
"36",0,0,0,0,0,0.0217391304347826,0.227496719741067,0.0195412064570943
"37",6,6,6,3.5,0.266666666666667,0.0235355648535565,0.311484912644729,0.0222428982459955
"38",0,0,0,0,0,0.0217391304347826,0.227496719741067,0.0195412064570943
"39",6,6,6,0.5,0.266666666666667,0.0234252993232691,0.623464704978843,0.0359726959193333
"40",0,0,0,0,0,0.0217391304347826,0.227496719741067,0.0195412064570943
"41",0,0,0,0,0,0.0217391304347826,0.227496719741067,0.0195412064570943
"42",0,0,0,0,0,0.0217391304347826,0.227496719741067,0.0195412064570943
"43",6,6,6,3.5,0.266666666666667,0.0235355648535565,0.311487538243149,0.0222428982459955
"44",2,2,2,0,0,0.0230769230769231,0.0860664119115789,0.0196764632561849
"45",0,0,0,0,0,0.0217391304347826,0.227496719741067,0.0195412064570943
"46",6,6,6,0.5,0.266666666666667,0.0234252993232691,0.623465649046757,0.0359726959193333
