"upeople_id","no_of_review_by_the_author_got_merged","AVG_Merge_Time","X47scmChanges","X71scmChanges","X132scmChanges","X301scmChanges","X102scrChanges","X208scrChanges","X1mslChanges","number_of_domain","country","X47linesadded","X47linesremoved","X71linesadded","X71linesremoved","X132linesadded","X132linesremoved","X301linesadded","X301linesremoved","X102ReviewGotMerged","X208ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
526,349,0,91,41,14,3164,387,2,401,6,9,46341,30819,5025,1359,2380,839,318743,160121,349,2,1,2,2,2,0,0,0.028735632183908,1
2685,0,0,0,0,0,2,0,0,1,1,9,0,0,0,0,0,0,24,48,0,0,3,0,0,0,0,0,0.166666666666667,0.499998588031229
2687,19,0,0,0,0,17,28,0,0,3,8,0,0,0,0,0,0,820,200,19,0,4,2,2,2,0,0,0.028735632183908,0.999994693691689
2690,0,0,0,0,0,2,0,0,0,2,8,0,0,0,0,0,0,7655,974,0,0,5,0,0,0,0,0,0.166666666666667,0.499998588031229
378243,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.166666666666667,0.499998588031229
447881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0.166666666666667,0.499998588031229
