"upeople_id","no_of_review_by_the_author_got_merged","AVG_Merge_Time","X20scmChanges","X412scrChanges","X1mslChanges","number_of_domain","country","X20linesadded","X20linesremoved","X412ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
179,0,0,3578,0,107,5,9,233158,149995,0,20,0,0,0,0,0,0.0112359550561798,0.00942581546195514
182,0,0,1868,0,72,3,6,426338,256295,0,21,0,0,0,0,0,0.0112359550561798,0.00942581546195514
185,0,0,192,0,13,4,10,16058,8292,0,18,0,0,0,0,0,0.0112359550561798,0.00942581546195514
189,0,0,0,0,0,2,10,0,0,0,14,0,0,0,0,0,0.0112359550561798,0.00942581546195514
197,14,0,3599,24,79,3,7,379851,252471,14,12,4,4,4,2,0,0.0115122972265829,0.989027643534191
247,0,0,2048,0,5,5,9,196815,122835,0,46,0,0,0,0,0,0.0112359550561798,0.00942581546195514
251,0,0,1129,0,3,4,10,112567,61271,0,36,0,0,0,0,0,0.0112359550561798,0.00942581546195514
252,0,0,105,0,11,4,7,6375,1882,0,67,0,0,0,0,0,0.0112359550561798,0.00942581546195514
253,0,0,297,0,6,2,7,56232,21741,0,8,0,0,0,0,0,0.0112359550561798,0.00942581546195514
254,0,0,1,0,0,2,10,11,3,0,30,0,0,0,0,0,0.0112359550561798,0.00942581546195514
259,4,0,3,7,3,7,9,114,15,4,84,0,0,0,0,0,0.0112359550561798,0.00942581546195514
261,0,0,2,0,0,4,7,295,15,0,3,0,0,0,0,0,0.0112359550561798,0.00942581546195514
262,0,0,13,0,0,6,8,3226,225,0,4,0,0,0,0,0,0.0112359550561798,0.00942581546195514
266,0,0,1,0,0,2,8,198,1,0,78,0,0,0,0,0,0.0112359550561798,0.00942581546195514
269,4,0,110,4,0,2,7,14231,2962,4,69,0,0,0,0,0,0.0112359550561798,0.00942581546195514
272,0,0,1,3,0,2,6,21,3,0,56,0,0,0,0,0,0.0112359550561798,0.00942581546195514
273,0,0,1,0,1,7,9,12,0,0,10,0,0,0,0,0,0.0112359550561798,0.00942581546195514
274,0,0,2,0,0,1,6,882,51,0,77,0,0,0,0,0,0.0112359550561798,0.00942581546195514
276,11,0,5,24,0,5,8,149,63,11,1,4,4,4,2,0,0.0115122972265829,0.180231560648881
278,0,0,1,0,0,2,9,64,2,0,55,0,0,0,0,0,0.0112359550561798,0.00942581546195514
282,0,0,1,0,0,6,9,54,3,0,34,0,0,0,0,0,0.0112359550561798,0.00942581546195514
285,0,0,10,0,0,1,10,729,33,0,63,0,0,0,0,0,0.0112359550561798,0.00942581546195514
286,3,0,3,20,0,3,6,155,55,3,5,2,2,2,0,0,0.0113930605903677,1
288,0,0,5,0,0,1,8,2582,348,0,79,0,0,0,0,0,0.0112359550561798,0.00942581546195514
289,0,0,1,0,0,1,9,16,0,0,74,0,0,0,0,0,0.0112359550561798,0.00942581546195514
291,0,0,1,0,0,3,10,24,10,0,87,0,0,0,0,0,0.0112359550561798,0.00942581546195514
292,0,0,1,0,0,2,8,43,6,0,80,0,0,0,0,0,0.0112359550561798,0.00942581546195514
319,0,0,0,0,5,2,7,0,0,0,9,0,0,0,0,0,0.0112359550561798,0.00942581546195514
393,0,0,0,0,0,3,10,0,0,0,44,0,0,0,0,0,0.0112359550561798,0.00942581546195514
415,0,0,0,0,0,3,6,0,0,0,2,0,0,0,0,0,0.0112359550561798,0.00942581546195514
443,0,0,0,0,0,1,10,0,0,0,11,0,0,0,0,0,0.0112359550561798,0.00942581546195514
610,0,0,0,0,0,5,9,0,0,0,6,0,0,0,0,0,0.0112359550561798,0.00942581546195514
665,0,0,0,0,0,3,8,0,0,0,28,0,0,0,0,0,0.0112359550561798,0.00942581546195514
693,0,0,0,0,0,2,8,0,0,0,24,0,0,0,0,0,0.0112359550561798,0.00942581546195514
756,0,0,0,0,0,3,6,0,0,0,7,0,0,0,0,0,0.0112359550561798,0.00942581546195514
760,0,0,0,0,1,1,6,0,0,0,13,0,0,0,0,0,0.0112359550561798,0.00942581546195514
829,0,0,0,0,0,1,7,0,0,0,39,0,0,0,0,0,0.0112359550561798,0.00942581546195514
906,0,0,0,3,0,4,8,0,0,0,85,0,0,0,0,0,0.0112359550561798,0.00942581546195514
911,0,0,0,18,0,2,7,0,0,0,59,2,2,2,0,0,0.0114315406599117,0.101476617218608
1448,0,0,0,0,0,3,6,0,0,0,25,0,0,0,0,0,0.0112359550561798,0.00942581546195514
1951,0,0,0,0,13,2,7,0,0,0,22,0,0,0,0,0,0.0112359550561798,0.00942581546195514
2394,0,0,0,0,0,2,8,0,0,0,29,0,0,0,0,0,0.0112359550561798,0.00942581546195514
3014,0,0,0,0,2,3,8,0,0,0,15,0,0,0,0,0,0.0112359550561798,0.00942581546195514
3045,0,0,0,0,0,4,9,0,0,0,68,0,0,0,0,0,0.0112359550561798,0.00942581546195514
3055,0,0,0,2,0,2,8,0,0,0,89,0,0,0,0,0,0.0112359550561798,0.00942581546195514
3261,0,0,2,0,3,2,7,895,29,0,83,0,0,0,0,0,0.0112359550561798,0.00942581546195514
3262,0,0,3,0,0,4,6,480,302,0,81,0,0,0,0,0,0.0112359550561798,0.00942581546195514
3263,0,0,2,0,0,3,6,205,3,0,82,0,0,0,0,0,0.0112359550561798,0.00942581546195514
3270,0,0,1,0,0,2,10,208,24,0,70,0,0,0,0,0,0.0112359550561798,0.00942581546195514
378243,0,0,0,0,0,13,0,0,0,0,48,0,0,0,0,0,0.0112359550561798,0.00942581546195514
379589,0,0,0,0,0,2,0,0,0,0,16,0,0,0,0,0,0.0112359550561798,0.00942581546195514
379597,0,0,0,0,2,1,0,0,0,0,17,0,0,0,0,0,0.0112359550561798,0.00942581546195514
379607,0,0,0,0,0,2,0,0,0,0,19,0,0,0,0,0,0.0112359550561798,0.00942581546195514
379637,0,0,0,0,41,3,0,0,0,0,23,0,0,0,0,0,0.0112359550561798,0.00942581546195514
379706,0,0,0,0,0,1,0,0,0,0,27,0,0,0,0,0,0.0112359550561798,0.00942581546195514
379870,0,0,0,0,1,4,0,0,0,0,32,0,0,0,0,0,0.0112359550561798,0.00942581546195514
379890,0,0,0,0,0,2,0,0,0,0,33,0,0,0,0,0,0.0112359550561798,0.00942581546195514
380479,0,0,0,0,0,1,0,0,0,0,37,0,0,0,0,0,0.0112359550561798,0.00942581546195514
380730,0,0,0,0,0,1,0,0,0,0,38,0,0,0,0,0,0.0112359550561798,0.00942581546195514
381323,0,0,0,0,0,2,0,0,0,0,40,0,0,0,0,0,0.0112359550561798,0.00942581546195514
382818,0,0,0,8,0,2,0,0,0,0,88,0,0,0,0,0,0.0112359550561798,0.00942581546195514
383224,0,0,0,0,0,2,0,0,0,0,47,0,0,0,0,0,0.0112359550561798,0.00942581546195514
383645,0,0,0,0,0,2,0,0,0,0,49,0,0,0,0,0,0.0112359550561798,0.00942581546195514
384098,0,0,0,0,0,1,0,0,0,0,57,0,0,0,0,0,0.0112359550561798,0.00942581546195514
384279,0,0,0,0,4,1,0,0,0,0,54,0,0,0,0,0,0.0112359550561798,0.00942581546195514
387054,0,0,0,0,0,2,0,0,0,0,58,0,0,0,0,0,0.0112359550561798,0.00942581546195514
388019,0,0,0,0,0,1,0,0,0,0,61,0,0,0,0,0,0.0112359550561798,0.00942581546195514
388687,0,0,0,0,0,2,0,0,0,0,60,0,0,0,0,0,0.0112359550561798,0.00942581546195514
391542,0,0,0,0,26,4,0,0,0,0,64,0,0,0,0,0,0.0112359550561798,0.00942581546195514
398354,0,0,0,0,0,2,0,0,0,0,66,0,0,0,0,0,0.0112359550561798,0.00942581546195514
401016,0,0,0,0,0,2,0,0,0,0,71,0,0,0,0,0,0.0112359550561798,0.00942581546195514
401620,0,0,0,0,0,1,0,0,0,0,72,0,0,0,0,0,0.0112359550561798,0.00942581546195514
401938,0,0,0,0,0,2,0,0,0,0,73,0,0,0,0,0,0.0112359550561798,0.00942581546195514
403622,0,0,0,0,0,1,0,0,0,0,75,0,0,0,0,0,0.0112359550561798,0.00942581546195514
431690,0,0,0,0,2,2,0,0,0,0,86,0,0,0,0,0,0.0112359550561798,0.00942581546195514
432589,0,0,0,0,0,1,0,0,0,0,26,0,0,0,0,0,0.0112359550561798,0.00942581546195514
432608,0,0,0,0,0,1,0,0,0,0,52,0,0,0,0,0,0.0112359550561798,0.00942581546195514
432683,0,0,0,0,0,1,0,0,0,0,50,0,0,0,0,0,0.0112359550561798,0.00942581546195514
432694,0,0,0,0,0,1,0,0,0,0,41,0,0,0,0,0,0.0112359550561798,0.00942581546195514
432797,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0.0112359550561798,0.00942581546195514
433031,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0.0112359550561798,0.00942581546195514
433641,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0.0112359550561798,0.00942581546195514
434223,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0.0112359550561798,0.00942581546195514
434791,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0.0112359550561798,0.00942581546195514
445339,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0.0112359550561798,0.00942581546195514
445371,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0.0112359550561798,0.00942581546195514
446844,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0.0112359550561798,0.00942581546195514
447330,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0.0112359550561798,0.00942581546195514
447606,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0.0112359550561798,0.00942581546195514
