"upeople_id","no_of_review_by_the_author_got_merged","AVG_Merge_Time","X16scmChanges","X20scmChanges","X25scmChanges","X224scmChanges","X380scmChanges","X260scrChanges","X262scrChanges","X266scrChanges","X386scrChanges","X412scrChanges","X1mslChanges","X2mslChanges","X3mslChanges","X4mslChanges","X5mslChanges","X6mslChanges","X7mslChanges","X8mslChanges","X9mslChanges","X10mslChanges","X11mslChanges","X12mslChanges","X13mslChanges","X14mslChanges","X15mslChanges","X16mslChanges","X17mslChanges","X18mslChanges","X19mslChanges","X20mslChanges","X21mslChanges","number_of_domain","country","X16linesadded","X16linesremoved","X20linesadded","X20linesremoved","X25linesadded","X25linesremoved","X224linesadded","X224linesremoved","X380linesadded","X380linesremoved","X260ReviewGotMerged","X262ReviewGotMerged","X266ReviewGotMerged","X386ReviewGotMerged","X412ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
291,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,24,10,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0.00657894736842105,0.00862991040658986
292,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,43,6,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0.00657894736842105,0.00862991040658986
319,0,0,0,0,5,0,5979,0,0,0,0,0,0,162,0,24,0,5,7,97,26,9,1,0,0,3,7,475,0,0,0,0,0,2,7,0,0,0,0,39053,5,0,0,997973,376398,0,0,0,0,0,16,0,0,0,0,0,0.00657894736842105,0.00862991040658986
320,0,0,0,0,1,0,186,0,0,0,0,0,0,5,0,0,0,0,1,0,2,0,0,0,0,0,0,11,0,0,0,0,0,3,7,0,0,0,0,1,1,0,0,16557,6198,0,0,0,0,0,95,0,0,0,0,0,0.00657894736842105,0.00862991040658986
322,118,0,0,0,13,0,682,0,0,0,158,0,0,58,0,0,0,0,1,3,0,0,0,0,0,0,0,70,0,0,0,0,0,4,8,0,0,0,0,59,42,0,0,41904,21287,0,0,0,118,0,15,22,22,22,42,0.0606060606060606,0.00713644312113049,0.186774040394639
393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0.00657894736842105,0.00862991040658986
415,38,0,0,0,0,0,24,0,0,0,82,0,0,3,0,0,0,0,1,2,4,0,0,0,0,0,0,82,0,0,186,0,0,3,6,0,0,0,0,0,0,0,0,2473,1022,0,0,0,38,0,2,8,8,8,0,0.285714285714286,0.00707259953161593,1
443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,12,0,0,0,0,18,0,126,0,204,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0.00657894736842105,0.00862991040658986
587,8,0,0,0,0,0,4,0,0,0,13,0,0,0,0,0,0,0,0,2,15,0,0,0,0,0,0,2,0,35,0,0,0,5,8,0,0,0,0,0,0,0,0,7,3,0,0,0,8,0,8,2,2,2,0,0,0.00706829565135983,0.00904099285526498
610,0,0,0,0,0,587,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,40336,30960,0,0,0,26,0,0,0,10,0,0,0,0,0,0.00657894736842105,0.00862991040658986
665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,1,8,0,28,0,0,0,0,109,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0.00657894736842105,0.00862991040658986
668,0,0,0,0,0,0,1820,0,0,0,0,0,0,294,3,4,0,3,0,70,5,0,0,6,0,0,0,167,0,0,0,0,1,4,9,0,0,0,0,0,0,0,0,685049,455744,0,0,0,0,0,50,0,0,0,0,0,0.00657894736842105,0.00862991040658986
671,0,0,0,0,0,206,0,0,14,0,0,0,0,0,4,0,0,0,1,45,5,225,0,0,14,0,0,98,0,0,0,0,1,3,6,0,0,0,0,0,0,7568,4099,0,0,0,14,0,0,0,5,0,0,0,0,0,0.00657894736842105,0.00862991040658986
693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0.00657894736842105,0.00862991040658986
756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,131,22,4,0,0,6,0,3,9,27,0,0,1,0,71,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0.00657894736842105,0.00862991040658986
760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,10,0,0,0,0,0,1,2,60,0,0,0,0,132,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0.00657894736842105,0.00862991040658986
829,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,220,81,0,0,0,0,0,61,0,0,0,0,0,0.00657894736842105,0.00862991040658986
906,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0.00657894736842105,0.00862991040658986
911,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0.00657894736842105,0.00862991040658986
916,2,0,0,0,0,0,6,0,0,0,14,3,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,507,108,0,0,0,2,0,146,4,4,4,0,0.333333333333333,0.00714116812485221,0.00873066394735622
1448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,6,0,0,2,74,0,0,0,0,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0.00657894736842105,0.00862991040658986
1460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0.00657894736842105,0.00862991040658986
1463,0,0,0,0,0,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,9,0,0,0,0,0,0,1971,907,0,0,0,1,0,0,0,107,0,0,0,0,0,0.00657894736842105,0.00862991040658986
1587,1,0,0,0,0,9,56,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,774,263,12338,2447,0,0,0,1,0,19,4,4,4,40,0.333333333333333,0.00714454696001893,0.000143852438094671
1781,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,11278,3551,0,0,0,0,0,93,0,0,0,0,0,0.00657894736842105,0.00862991040658986
1951,0,0,0,0,0,0,3571,0,0,0,0,0,0,344,1,6,0,13,0,48,8,0,0,1,0,0,3,130,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,336389,139148,0,0,0,0,0,34,0,0,0,0,0,0.00657894736842105,0.00862991040658986
1979,10,0,0,0,0,0,325,0,0,0,11,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,67050,20448,0,0,0,10,0,59,6,6,6,12,0.4,0.00713678041402779,0.062761956511816
1990,6,0,0,0,0,0,146,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,22728,3486,0,0,0,6,0,133,2,2,2,0,0,0.00712835764528159,0
2126,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,1,1,0,0,0,0,0,0,3,7,0,0,0,0,0,0,13,16,0,0,0,0,0,0,0,35,0,0,0,0,0,0.00657894736842105,0.00862991040658986
2129,0,0,0,0,0,624,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,6,0,0,1,0,0,0,0,0,4,10,0,0,0,0,0,0,56668,42415,0,0,0,0,0,0,0,43,0,0,0,0,0,0.00657894736842105,0.00862991040658986
2205,2,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,177,59,0,0,0,2,0,149,2,2,2,0,0,0.00711224153360652,0.00195659729814439
2394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0.00657894736842105,0.00862991040658986
3014,0,0,0,0,0,0,902,0,0,0,0,0,0,13,0,1,0,2,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,279673,79083,0,0,0,0,0,25,0,0,0,0,0,0.00657894736842105,0.00862991040658986
3017,0,0,0,0,0,0,1324,0,0,0,0,0,0,14,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,74729,47556,0,0,0,0,0,37,0,0,0,0,0,0.00657894736842105,0.00862991040658986
3025,9,0,0,0,0,0,1083,0,0,0,19,0,0,37,0,0,0,0,1,18,7,0,0,0,0,0,0,8,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,181025,44259,0,0,0,9,0,101,6,6,6,0,0.4,0.00712835764528159,0.878260227039097
3038,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,2852,904,0,0,0,0,0,136,0,0,0,0,0,0.00657894736842105,0.00862991040658986
3045,4,0,0,0,0,0,82,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,8024,1599,0,0,0,4,0,114,12,12,12,48,0.121212121212121,0.00714657579629893,0.00841562252122387
3055,2,0,0,0,0,0,2,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,102,48,0,0,0,2,0,152,2,2,2,0,0,0.0070882035394076,0.0058208120927592
3057,0,0,0,0,1,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,2063,0,0,0,3738,283,0,0,0,0,0,140,0,0,0,0,0,0.00657894736842105,0.00862991040658986
3107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0.00657894736842105,0.00862991040658986
3261,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,895,29,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0.00657894736842105,0.00862991040658986
