"upeople_id","no_of_review_by_the_author_got_merged","AVG_Merge_Time","X48scmChanges","X424scrChanges","X1mslChanges","number_of_domain","country","X48linesadded","X48linesremoved","X424ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
266,3,0,2,3,0,2,8,314,0,3,15,2,2,2,0,0,0.0281481481481481,0.029156152509367
398,1,0,16,1,10,2,8,7771,240,1,8,2,2,2,0,0,0.0273381294964029,0.00266307031195677
411,0,0,0,0,0,4,6,0,0,0,6,0,0,0,0,0,0.05,0.000423220079649044
415,34,0,4,41,0,3,6,411,19,34,4,6,6,6,11,0.266666666666667,0.0269503546099291,0.686187724287605
527,86,0,281,90,47,4,10,112236,27444,86,1,8,8,8,29,0.142857142857143,0.0291858678955453,0.342933394465275
531,663,0,262,701,56,6,9,52914,23345,663,19,24,24,24,34,0.0507246376811594,0.0372549019607843,1
535,169,0,67,197,56,5,9,27538,9468,169,5,8,8,8,32,0.214285714285714,0.0379241516966068,0.442890579062039
536,30,0,13,59,20,2,7,1006,136,30,11,8,8,8,31,0.142857142857143,0.0374753451676529,0.410390008346335
538,17,0,4,17,0,1,8,5704,355,17,16,6,6,6,5,0.266666666666667,0.0300157977883096,0.207941589967729
541,5,0,1,11,0,1,8,92,69,5,14,4,4,4,0,0.333333333333333,0.0359168241965974,0.0715718049643466
544,14,0,1,14,0,2,7,86,8,14,17,4,4,4,0,0.333333333333333,0.0221187427240978,0.209179474743747
797,5,0,2,5,0,4,9,43,9,5,10,4,4,4,6,0.333333333333333,0.0301109350237718,0.0571767738146222
910,0,0,0,1,2,4,8,0,0,0,9,0,0,0,0,0,0.05,0.000423220079649044
3148,0,0,0,0,0,1,8,0,0,0,7,0,0,0,0,0,0.05,0.000423220079649044
378235,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0.05,0.000423220079649044
378243,0,0,0,0,0,13,0,0,0,0,3,0,0,0,0,0,0.05,0.000423220079649044
385882,0,0,0,0,0,2,0,0,0,0,12,0,0,0,0,0,0.05,0.000423220079649044
385897,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0.05,0.000423220079649044
399999,4,0,0,4,0,2,0,0,0,4,18,2,2,2,0,0,0.0276967930029155,0.0311001336894183
446283,4,0,0,4,0,2,0,0,0,4,20,2,2,2,0,0,0.0276967930029155,0.0311001336814578
