"upeople_id","no_of_review_by_the_author_got_merged","AVG_Merge_Time","X290scmChanges","X392scrChanges","X1mslChanges","number_of_domain","country","X290linesadded","X290linesremoved","X392ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
554,117,0,41,192,2,4,10,5520,4335,117,3,8,8,8,0,0.428571428571429,0.0118505013673655,0.146536408440552
880,1818,0,249,2012,15,4,8,185349,197247,1818,4,18,18,18,0,0.287581699346405,0.0137130801687764,1
2057,1309,0,251,1409,2,4,9,613388,576574,1309,10,16,16,16,0,0.35,0.0117967332123412,0.632371178400972
2635,122,0,24,127,0,1,9,820,813,122,1,12,12,12,13,0.333333333333333,0.0201550387596899,0.108832892705577
2636,4,0,3,4,0,1,9,797,76,4,7,2,2,2,0,0,0.00999231360491929,0.00256429331870191
2639,512,0,71,612,0,6,8,4219,5024,512,9,16,16,16,12,0.35,0.0177595628415301,0.233843890912554
3278,91,0,4,104,22,3,6,2008,386,91,8,4,4,4,0,0.333333333333333,0.0159313725490196,0.551812420300518
298235,200,0,30,250,0,2,0,2233,644,200,12,14,14,14,17,0.395604395604396,0.0204724409448819,0.219755078681708
298236,63,0,11,63,0,2,0,512,320,63,11,10,10,10,2,0.444444444444444,0.0104923325262308,0.0537935074672736
378243,0,0,0,0,0,13,0,0,0,0,5,0,0,0,0,0,0.0714285714285714,0.00105583996505864
385514,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0.0714285714285714,0.00105583996505864
434498,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0.0714285714285714,0.00105583996505864
443624,71,0,0,83,0,1,0,0,0,71,14,10,10,10,28,0.444444444444444,0.0205696202531646,0.0365955641273377
446720,1398,0,0,1543,0,0,0,0,0,1398,2,18,18,18,9,0.274509803921569,0.0115967885816235,0.631507184921444
