"upeople_id","no_of_review_by_the_author_got_merged","AVG_Merge_Time","X4scmChanges","X330scmChanges","X347scmChanges","X419scrChanges","X1mslChanges","number_of_domain","country","X4linesadded","X4linesremoved","X330linesadded","X330linesremoved","X347linesadded","X347linesremoved","X419ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
412675,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0.00892857142857143,2.86895949794556e-08
413978,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0.00892857142857143,2.86895949794556e-08
422572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0.00892857142857143,2.86895949794556e-08
426907,7,0,0,0,0,11,0,2,0,0,0,0,0,0,0,7,91,2,2,2,0,0,0.01140918902251,0.00163128241951381
427228,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0.00892857142857143,2.86895949794556e-08
427468,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0.00892857142857143,2.86895949794556e-08
427546,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0.00892857142857143,2.86895949794556e-08
427876,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0.00892857142857143,2.86895949794556e-08
428113,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0.00892857142857143,2.86895949794556e-08
428729,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0.00892857142857143,2.86895949794556e-08
428736,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0.00892857142857143,2.86895949794556e-08
429382,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,102,2,2,2,0,0,0.0122719734660033,0.000163131301737369
432588,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0.00892857142857143,2.86895949794556e-08
432797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0.00892857142857143,2.86895949794556e-08
434144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0.00892857142857143,2.86895949794556e-08
444193,6,0,0,0,0,6,0,1,0,0,0,0,0,0,0,6,111,0,0,0,0,0,0.00892857142857143,2.86895949794556e-08
447097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0.00892857142857143,2.86895949794556e-08
447157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0.00892857142857143,2.86895949794556e-08
448212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0.00892857142857143,2.86895949794556e-08
448844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0.00892857142857143,2.86895949794556e-08
452199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0.00892857142857143,2.86895949794556e-08
452230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0.00892857142857143,2.86895949794556e-08
