"upeople_id","no_of_review_by_the_author_got_merged","AVG_Merge_Time","X58scmChanges","X59scmChanges","X387scmChanges","X103scrChanges","X1mslChanges","number_of_domain","country","X58linesadded","X58linesremoved","X59linesadded","X59linesremoved","X387linesadded","X387linesremoved","X103ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
95,4,0,0,6,0,5,0,5,7,0,0,50,46,0,0,4,1,2,2,2,0,0,0.0297397769516729,0.0184611819096043
104,0,0,78,370,30,0,0,5,10,15225,7386,159136,71061,1965,390,0,5,0,0,0,0,0,0.0588235294117647,0.000166389156678311
105,45,0,116,485,0,49,24,7,8,23322,10910,99834,39978,0,0,45,4,6,6,6,10,0.4,0.0396039603960396,0.143948071834818
106,12,0,6,26,4,12,30,7,7,129,128,2188,1958,41,89,12,3,4,4,4,0,0.333333333333333,0.031496062992126,0.241120659859223
107,0,0,0,31,7,0,1,2,7,0,0,823,831,93,35,0,8,0,0,0,0,0,0.0588235294117647,0.000166389156678311
108,490,0,425,1770,2,529,27,4,8,134396,79978,635968,438058,10,10,490,9,14,14,14,6,0.131868131868132,0.0330578512396694,1
315,0,0,1,11,0,0,4,2,9,18,11,424,413,0,0,0,6,0,0,0,0,0,0.0588235294117647,0.000166389156678311
316,0,0,0,17,0,0,0,1,9,0,0,1594,625,0,0,0,7,0,0,0,0,0,0.0588235294117647,0.000166389156678311
317,0,0,176,2,0,0,1,1,6,374997,222788,2,0,0,0,0,2,0,0,0,0,0,0.0588235294117647,0.000166389156678311
573,0,0,43,50,0,0,0,1,7,7262,2909,7152,3048,0,0,0,10,0,0,0,0,0,0.0588235294117647,0.000166389156678311
576,226,0,0,473,0,254,2,4,7,0,0,242420,100762,0,0,226,11,10,10,10,11,0.222222222222222,0.0454545454545455,0.288662652420454
578,130,0,0,118,0,152,1,4,6,0,0,59602,25192,0,0,130,15,8,8,8,6,0.285714285714286,0.0372960372960373,0.920935572873085
3234,17,0,0,10,0,22,1,1,7,0,0,40510,3184,0,0,17,16,4,4,4,0,0.333333333333333,0.036281179138322,0.194612979349721
64569,24,0,0,44,0,34,0,1,0,0,0,18233,10831,0,0,24,13,4,4,4,0,0.333333333333333,0.0446927374301676,0.109339745594652
177607,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0.0588235294117647,0.000166389156678311
378243,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0.0588235294117647,0.000166389156678311
415362,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0.0588235294117647,0.000166389156678311
