"upeople_id","no_of_review_by_the_author_got_merged","AVG_Merge_Time","X103scmChanges","X208scmChanges","X377scmChanges","X383scmChanges","X398scmChanges","X40scrChanges","X63scrChanges","X349scrChanges","X408scrChanges","X1mslChanges","X2mslChanges","number_of_domain","country","X103linesadded","X103linesremoved","X208linesadded","X208linesremoved","X377linesadded","X377linesremoved","X383linesadded","X383linesremoved","X398linesadded","X398linesremoved","X40ReviewGotMerged","X63ReviewGotMerged","X349ReviewGotMerged","X408ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
1449,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0.0131578947368421,0.181374896149491
1460,0,0,0,0,0,0,0,0,0,0,0,4,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0.0131578947368421,0.181374896149491
1569,0,0,0,0,0,11,112,0,0,0,16,0,0,1,6,0,0,0,0,0,0,1952,1569,21425,30470,0,0,0,15,34,0,0,0,0,0,0.0131578947368421,0.181374896149491
2076,0,0,0,1,0,0,6,0,0,1,17,0,0,1,6,0,0,0,0,0,0,0,0,452,28,0,0,1,16,71,0,0,0,0,0,0.0131578947368421,0.181374896149491
2126,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0.0131578947368421,0.181374896149491
2245,8,0,0,0,2,0,0,8,0,0,0,0,0,3,8,0,0,0,0,140,42,0,0,0,0,8,0,0,0,51,2,2,2,0,0,0.0133523233042549,0.342759937683848
2282,0,0,0,0,0,0,0,0,0,0,0,18,43,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.0131578947368421,0.181374896149491
2542,0,0,0,0,0,104,69,0,2,0,0,0,9,4,9,0,0,0,0,0,0,9248,6313,4786,1374,0,2,0,0,75,0,0,0,0,0,0.0131578947368421,0.181374896149491
2972,0,0,0,0,30,0,0,0,0,0,0,1,28,2,8,0,0,0,0,12471,7559,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0.0131578947368421,0.181374896149491
2977,0,0,0,0,1,0,0,0,0,0,0,66,8,2,6,0,0,0,0,393,46,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0.0131578947368421,0.181374896149491
2978,0,0,0,0,4,0,0,0,0,0,0,0,0,2,8,0,0,0,0,149,71,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0.0131578947368421,0.181374896149491
2986,2,0,0,0,12,0,1,4,0,0,1,0,0,1,6,0,0,0,0,2552,530,0,0,1,1,2,0,0,1,70,2,2,2,0,0,0.014315709104791,0.0920835826007382
3071,0,0,0,0,0,15,0,0,0,0,0,0,29,5,6,0,0,0,0,0,0,1570,252,0,0,0,0,0,0,46,0,0,0,0,0,0.0131578947368421,0.181374896149491
3080,0,0,0,0,0,1,0,0,0,0,0,190,158,7,6,0,0,0,0,0,0,562,273,0,0,0,0,0,0,39,0,0,0,0,0,0.0131578947368421,0.181374896149491
3082,0,0,0,0,0,2,0,0,3,0,0,0,0,2,9,0,0,0,0,0,0,6,5,0,0,0,3,0,0,76,0,0,0,0,0,0.0131578947368421,0.181374896149491
378243,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0.0131578947368421,0.181374896149491
379675,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0.0131578947368421,0.181374896149491
379690,0,0,0,0,0,0,0,0,0,0,0,0,32,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0.0131578947368421,0.181374896149491
380118,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0.0131578947368421,0.181374896149491
381082,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0.0131578947368421,0.181374896149491
381084,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0.0131578947368421,0.181374896149491
381114,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0.0131578947368421,0.181374896149491
381295,0,0,0,0,0,0,0,0,0,0,0,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0.0131578947368421,0.181374896149491
382758,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0.0131578947368421,0.181374896149491
382814,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0.0131578947368421,0.181374896149491
383631,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0.0131578947368421,0.181374896149491
389171,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0.0131578947368421,0.181374896149491
389186,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0.0131578947368421,0.181374896149491
395937,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0.0131578947368421,0.181374896149491
395939,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0.0131578947368421,0.181374896149491
395960,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0.0131578947368421,0.181374896149491
401620,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0.0131578947368421,0.181374896149491
404802,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0.0131578947368421,0.181374896149491
405723,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0.0131578947368421,0.181374896149491
432588,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0.0131578947368421,0.181374896149491
432589,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0.0131578947368421,0.181374896149491
432600,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0.0131578947368421,0.181374896149491
432620,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0.0131578947368421,0.181374896149491
432641,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0.0131578947368421,0.181374896149491
432896,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0.0131578947368421,0.181374896149491
433146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0.0131578947368421,0.181374896149491
433641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0.0131578947368421,0.181374896149491
433703,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0.0131578947368421,0.181374896149491
433973,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0.0131578947368421,0.181374896149491
434003,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0.0131578947368421,0.181374896149491
