"upeople_id","no_of_review_by_the_author_got_merged","AVG_Merge_Time","X41scmChanges","X133scmChanges","X42scrChanges","X64scrChanges","X1mslChanges","number_of_domain","country","X41linesadded","X41linesremoved","X133linesadded","X133linesremoved","X42ReviewGotMerged","X64ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
23,14,0,56,0,15,0,19,3,6,13675,3474,0,0,14,0,2,2,2,2,0,0,0.0565371024734982,0.0968190796366324
24,0,0,11,0,0,0,83,6,6,93,25,0,0,0,0,3,0,0,0,0,0,0.0588235294117647,0.0228491628965513
29,15,0,99,0,15,0,7,1,10,36995,36668,0,0,15,0,12,6,6,6,5,0.266666666666667,0.0686695278969957,0.286509615339082
475,21,0,594,1092,23,124,129,5,8,113580,97756,147651,111933,21,109,11,6,6,6,5,0.133333333333333,0.0686695278969957,0.293743892858135
476,30,0,1685,2,30,0,108,4,7,468370,351337,3,2,30,0,7,10,10,10,12,0.133333333333333,0.0714285714285714,1
477,0,0,393,0,0,0,2,1,9,107543,71870,0,0,0,0,14,0,0,0,0,0,0.0588235294117647,0.0228491628965513
478,0,0,17,0,0,0,0,2,6,6747,1472,0,0,0,0,16,0,0,0,0,0,0.0588235294117647,0.0228491628965513
479,4,0,461,0,4,0,4,1,9,151771,123433,0,0,4,0,8,4,4,4,0,0.333333333333333,0.0567375886524823,0.807769959165882
480,0,0,1,34,0,7,4,2,7,13,2,1665,275,0,5,9,0,0,0,0,0,0.0588235294117647,0.0228491628965513
492,0,0,1,24,0,6,7,3,6,4,4,2082,114,0,2,15,0,0,0,0,0,0.0588235294117647,0.0228491628965513
494,34,0,14,13,40,8,179,1,6,1112,167,5635,169,34,7,1,4,4,4,0,0.333333333333333,0.065843621399177,0.263763113272915
1608,0,0,0,10,0,0,1,3,8,0,0,168,93,0,0,13,0,0,0,0,0,0.0588235294117647,0.0228491628965513
2223,0,0,0,0,0,0,5,3,7,0,0,0,0,0,0,4,0,0,0,0,0,0.0588235294117647,0.0228491628965513
2793,4,0,0,0,4,0,0,4,8,0,0,0,0,4,0,17,4,4,4,0,0.333333333333333,0.0588235294117647,0.752159273702322
3080,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,5,0,0,0,0,0,0.0588235294117647,0.0228491628965513
378243,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,10,0,0,0,0,0,0.0588235294117647,0.0228491628965513
382566,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0.0588235294117647,0.0228491628965513
